Time,Baseline,PPO (StopReward)
05:15:00 AM,12.43,12.61
05:30:00 AM,13.65,15.61
05:45:00 AM,12.31,12.31
06:00:00 AM,15.63,13.17
06:15:00 AM,19.65,20.16
06:30:00 AM,20.13,24.56
06:45:00 AM,24.25,19.71
07:00:00 AM,20.58,20.3
07:15:00 AM,43.61,35.02
07:30:00 AM,45.16,49.63
07:45:00 AM,43.85,42.31
08:00:00 AM,49.29,43.96
08:15:00 AM,47.8,43.43
08:30:00 AM,53.73,52.44
08:45:00 AM,58.58,42.97
09:00:00 AM,59.01,37.12
09:15:00 AM,44.61,39.1
09:30:00 AM,31.81,44.47
09:45:00 AM,35.31,40.76
10:00:00 AM,37.06,38.46
10:15:00 AM,24.07,34.38
10:30:00 AM,25.82,35.56
10:45:00 AM,26.56,22.3
11:00:00 AM,27.29,25.06
