,Delay Time - All - Replication 8050297 (sec/km),Travel Time - All - Replication 8050297 (sec/km),Mean Queue - All - Replication 8050297 (veh),Flow - All - Replication 8050297 (veh/h)
5:15:00 AM,23.12,81.05,8.51,1632
5:30:00 AM,25.68,83.14,12.34,2064
5:45:00 AM,25.92,83.83,13.9,2440
6:00:00 AM,32.21,89.87,17.99,2440
6:15:00 AM,35.43,93.33,27.19,3212
6:30:00 AM,32.57,90.09,24.88,3212
6:45:00 AM,48.06,105.04,50.88,4052
7:00:00 AM,45.21,102.58,48.97,4584
7:15:00 AM,63.5,121.58,115.92,6268
7:30:00 AM,90.74,148.88,160.28,6716
7:45:00 AM,91.45,149.19,186.09,8124
8:00:00 AM,95.16,153,200.88,8600
8:15:00 AM,95.6,153.43,173.29,7764
8:30:00 AM,89.69,147.6,156.86,8108
8:45:00 AM,84.84,143.31,165.08,8316
9:00:00 AM,86.6,144.53,156.91,7772
9:15:00 AM,94.99,152.64,142.72,7036
9:30:00 AM,77.72,135.41,123.16,6612
9:45:00 AM,77.87,135.56,122.66,6476
10:00:00 AM,80.7,138.67,131.4,6720
10:15:00 AM,80.5,138.03,122.09,6048
10:30:00 AM,89.74,147.32,128.42,6120
10:45:00 AM,88.52,146.12,128.01,6244
11:00:00 AM,80.56,138.93,110.33,6476
