,Delay Time - Replication 8050297 - All (sec/km),Travel Time - Replication 8050297 - All (sec/km),Mean Queue - Replication 8050297 - All (veh),Flow - Replication 8050297 - All (veh/h)
5:15:00 AM,23.09,83.15,10.04,2012
5:30:00 AM,25.68,83.14,12.34,2064
5:45:00 AM,25.92,83.83,13.9,2440
6:00:00 AM,32.21,89.87,17.99,2440
6:15:00 AM,35.43,93.33,27.19,3212
6:30:00 AM,32.57,90.09,24.88,3212
6:45:00 AM,48.06,105.04,50.88,4052
7:00:00 AM,45.21,102.58,48.97,4584
7:15:00 AM,52.35,110.67,90.71,6512
7:30:00 AM,69.22,127.78,129.48,7184
7:45:00 AM,82.19,140.47,178.41,8656
8:00:00 AM,83.86,142.32,178.86,9024
8:15:00 AM,82.35,141,160.3,8656
8:30:00 AM,71.57,129.88,144.6,8548
8:45:00 AM,84.6,143.26,166.98,8372
9:00:00 AM,68.57,126.83,140.83,8420
9:15:00 AM,66.94,124.58,109.51,7592
9:30:00 AM,46.2,103.7,68.28,6736
9:45:00 AM,44.86,102.65,66.76,6564
10:00:00 AM,46.42,104.62,74.34,6856
10:15:00 AM,41.66,99.38,58.22,6132
10:30:00 AM,42.1,99.76,53.16,5928
10:45:00 AM,41.28,98.81,56.8,6060
11:00:00 AM,40.62,98.55,54.07,5920
