,Delay Time - All - Replication 8050315 (sec/km),Travel Time - All - Replication 8050315 (sec/km),Mean Queue - All - Replication 8050315 (veh),Flow - All - Replication 8050315 (veh/h)
10:15:00 AM,40.78,97.95,53.69,5324
10:30:00 AM,44.08,101.44,61.56,6056
10:45:00 AM,44.51,101.76,63.29,6140
11:00:00 AM,41.26,98.77,59.74,6036
11:15:00 AM,41.28,98.5,60.09,6392
11:30:00 AM,40.27,97.47,56.37,6392
11:45:00 AM,46.28,103.34,67.57,6300
12:00:00 PM,41.65,98.87,60.63,6172
12:15:00 PM,51.69,108.74,94.52,8228
12:30:00 PM,56.26,113.59,107.92,8508
12:45:00 PM,57.36,114.68,111.27,8156
1:00:00 PM,56.12,113.31,124.28,8316
1:15:00 PM,55.96,113.39,81.95,7000
1:30:00 PM,43.29,100.41,71.17,6532
1:45:00 PM,46.58,104.18,69.01,6672
2:00:00 PM,43.46,100.8,66.68,6576
