time,offset1,offset2,offset3,offset4,offset5
1800,0,0,55,55,55
2700,0,0,55,55,55
3600,0,0,55,55,55
4500,0,0,55,55,55
5400,0,0,55,55,55
6300,0,0,55,55,55
7200,0,0,55,55,55
8100,60,60,65,75,5
9000,60,60,65,75,5
9900,60,60,65,75,5
10800,60,60,65,75,5
11700,60,60,65,75,5
12600,60,60,65,75,5
13500,60,60,65,75,5
14400,60,60,65,75,5
15300,60,60,65,75,5
16200,60,60,65,75,5
17100,60,60,65,75,5
18000,60,60,65,75,5
18900,0,0,55,55,55
19800,0,0,55,55,55
20700,0,0,55,55,55
21600,0,0,55,55,55
22500,0,0,55,55,55
23400,0,0,55,55,55
24300,40,40,5,0,5
25200,40,40,5,0,5
