time,Occupancy,Flow,Slope,Queue,Stop_Time,Delay,Period
02:15:00 PM,67.87,3132,46.1470458228967,4.28,25.16,25.56,PM
02:30:00 PM,77.75,3444,44.2958199356913,4.6,31.63,24.9,PM
02:45:00 PM,67.55,3308,48.9711324944486,4.04,25.14,22.92,PM
03:00:00 PM,55.45,3184,57.4211000901713,3.43,26.38,22.06,PM
03:15:00 PM,74.28,3532,47.5498115239634,4.92,27.01,25.71,PM
03:30:00 PM,70.81,3572,50.4448524219743,4.65,29.65,24.61,PM
03:45:00 PM,68.52,3556,51.89725627554,5.12,27.32,26.81,PM
04:00:00 PM,73.31,3432,46.8148956486155,4.52,32.82,24.98,PM
04:15:00 PM,71.88,3552,49.4156928213689,4.45,26.69,24.31,PM
04:30:00 PM,71.82,3484,48.510164299638,3.62,17.98,20.05,PM
04:45:00 PM,77.99,3736,47.9035773817156,4.92,21.62,24.89,PM
05:00:00 PM,75.31,3724,49.4489443632984,4.38,20.47,22.24,PM
05:15:00 PM,79.46,4048,50.9438711301284,6.18,28.03,29.2,PM
05:30:00 PM,76.05,3828,50.3353057199211,5.03,27.73,25.3,PM
05:45:00 PM,69.43,3792,54.6161601613135,4.25,20.22,21.74,PM
06:00:00 PM,78.43,3708,47.2778273619788,6.03,34.04,33.57,PM
06:15:00 PM,86.37,3860,44.6914437883524,6.34,28.59,29.32,PM
06:30:00 PM,77.76,3664,47.119341563786,4.64,26.02,25.21,PM
06:45:00 PM,68.01,3564,52.4040582267314,4.16,20.86,22.85,PM
07:00:00 PM,78.13,3672,46.9985920901062,5.12,28.82,24.82,PM
07:15:00 PM,43.34,3176,73.281033687125,3.19,20.72,21.54,PM
07:30:00 PM,68.35,3132,45.8229700073153,3.87,33.64,23.25,PM
07:45:00 PM,68.48,3328,48.5981308411215,4.44,37.9,24.35,PM
08:00:00 PM,40.64,3164,77.8543307086614,2.68,16.47,17.8,PM
08:15:00 PM,39.73,2508,63.1261011829852,2.25,20.7,19.05,PM
08:30:00 PM,39.48,2460,62.3100303951368,2.18,16.05,18.18,PM
08:45:00 PM,34.41,2344,68.1197326358617,2.05,19.35,17.76,PM
09:00:00 PM,65.64,2400,36.563071297989,2.59,22.05,21.02,PM
05:15:00 AM,29.56,1068,36.1299052774019,0.64,10.28,12.92,AM
05:30:00 AM,23.98,976,40.7005838198499,0.59,15.6,12.06,AM
05:45:00 AM,32.93,1256,38.1415122988157,1.01,18.02,16.74,AM
06:00:00 AM,38.74,1428,36.8611254517295,1.04,16.55,15.15,AM
06:15:00 AM,21.15,1876,88.6997635933806,1.63,33.78,18.11,AM
06:30:00 AM,38.43,1760,45.7975539942753,1.61,18.99,17.62,AM
06:45:00 AM,50.3,2460,48.9065606361829,2.67,20.59,21.45,AM
07:00:00 AM,33.37,2664,79.8321845969434,2.64,20.64,20.08,AM
07:15:00 AM,54.3,3456,63.646408839779,6,32.26,32.19,AM
07:30:00 AM,58.55,3908,66.7463706233988,9.5,51.05,45.65,AM
07:45:00 AM,72.95,4408,60.424948594928,10.07,53.57,40.82,AM
08:00:00 AM,57.65,4500,78.0572419774501,9.63,56.12,42.97,AM
08:15:00 AM,47.75,4060,85.0261780104712,8.5,45.42,38.13,AM
08:30:00 AM,64.22,4016,62.5350358143881,9.67,56.47,45.44,AM
08:45:00 AM,72.7,3968,54.5804676753783,10.59,71.28,46.85,AM
09:00:00 AM,65.88,3940,59.805707346691,10.34,66.35,50.66,AM
09:15:00 AM,65.83,4232,64.2867993316117,10.41,59.5,46.79,AM
09:30:00 AM,54.99,4236,77.0321876704855,8.67,52.78,38.52,AM
09:45:00 AM,59.27,3972,67.0153534671841,8.24,48.58,39.71,AM
10:00:00 AM,53.87,4104,76.1834044922963,9.83,57.73,36.83,AM
10:15:00 AM,58.38,4036,69.1332648167181,7.58,44.47,36.96,AM
10:30:00 AM,60.55,3308,54.6325350949628,4.32,25.52,27.98,AM
10:45:00 AM,67.56,3472,51.3913558318532,4.96,27.17,26.68,AM
11:00:00 AM,63.42,3052,48.1236203090508,3.71,20.32,24.13,AM
10:15:00 AM,41.79,3848,92.0794448432639,4.14,23.65,25.04,Noon
10:30:00 AM,41.65,4032,96.8067226890756,4.52,25.18,25.15,Noon
10:45:00 AM,50.13,4044,80.6702573309395,3.72,21.04,22.92,Noon
11:00:00 AM,58.8,4000,68.0272108843537,5.07,26.57,27.88,Noon
11:15:00 AM,63.49,3868,60.9229799968499,4.65,23.78,24.68,Noon
11:30:00 AM,71.71,3604,50.2579835448334,4.43,24.11,25.14,Noon
11:45:00 AM,68.51,3560,51.963217048606,4.79,34.67,25.27,Noon
12:00:00 PM,71.81,3572,49.7423757136889,4.03,23.7,23.07,Noon
12:15:00 PM,73.26,3796,51.8154518154518,4.9,25.41,25.57,Noon
12:30:00 PM,73.47,3492,47.5296039199673,4.84,30.01,25.3,Noon
12:45:00 PM,69.47,3912,56.3120771556067,5.86,30.24,29.12,Noon
01:00:00 PM,66.74,3484,52.2025771651184,5.1,26.32,26.79,Noon
01:15:00 PM,66.85,3612,54.0314136125655,4.97,29.29,27.34,Noon
01:30:00 PM,72.52,3556,49.034749034749,5.37,34.57,24.95,Noon
01:45:00 PM,75.59,3524,46.6199232702738,4.91,30.61,26.09,Noon
