Time,Baseline,PPO (StopReward)
02:15:00 PM,23.99,26.1
02:30:00 PM,25.02,23.5
02:45:00 PM,25.07,30.26
03:00:00 PM,23.49,27.3
03:15:00 PM,25.88,27.28
03:30:00 PM,25.57,25.92
03:45:00 PM,20.96,26.37
04:00:00 PM,20.85,28.75
04:15:00 PM,29.39,25.24
04:30:00 PM,26.5,22.82
04:45:00 PM,29.42,28.95
05:00:00 PM,31.54,24.8
05:15:00 PM,27.39,29.18
05:30:00 PM,36.72,22.83
05:45:00 PM,35.26,27.99
06:00:00 PM,28.23,25.14
06:15:00 PM,31.25,27.99
06:30:00 PM,30.09,29.5
06:45:00 PM,30.37,20.43
07:00:00 PM,34.76,24.5
07:15:00 PM,23.23,14.92
07:30:00 PM,20.26,20.31
07:45:00 PM,19.58,20.01
08:00:00 PM,20.32,18.02
08:15:00 PM,20.57,20.26
08:30:00 PM,22.51,19
08:45:00 PM,21.55,20.5
09:00:00 PM,21.5,24.16
