time,reward,cid,repl,1,2,3,4,5,6,7,8,cyc,delay
900,-9.8323,0,8050322,10,30,10,37,10,30,14,33, 105.0 [] ,19.4846725463867
1800,-29.3661,0,8050322,28,24,58,15,29,15,65,34, 161 [] ,26.060338973999
2700,-126.9924,0,8050322,26,30,69,27,14,14,32,39, 117 [] ,28.838508605957
3600,-158.3061,0,8050322,19,30,41,61,30,30,44,53, 175 [] ,28.838508605957
4500,-208.6639,0,8050322,30,30,16,24,11,30,15,66, 140 [] ,23.276819229126
5400,-368.8859,0,8050322,30,30,50,40,30,30,15,43, 136 [] ,22.5930213928223
6300,-431.5881,0,8050322,5,28,29,43,30,12,69,57, 186 [] ,22.5930213928223
7200,-477.859,1,8050322,30,30,36,54,30,5,47,54, 154 [] ,23.674825668335
8100,-916.3773,1,8050322,30,30,17,23,30,21,43,66, 178 [] ,34.911003112793
9000,-1407.2763,1,8050322,30,30,30,15,30,30,69,32, 179 [] ,34.4798927307129
9900,-1813.5274,1,8050322,5,10,36,22,30,30,15,50, 143 [] ,35.589111328125
10800,-2050.1705,1,8050322,30,28,36,59,30,16,15,47, 126 [] ,35.589111328125
11700,-1772.7476,1,8050322,25,7,45,39,12,30,15,62, 137 [] ,44.8262519836426
12600,-2346.1686,1,8050322,19,8,43,45,15,30,58,68, 189 [] ,31.1265926361084
13500,-2426.6386,1,8050322,30,30,44,49,30,30,23,51, 152 [] ,31.1265926361084
14400,-3705.6895,1,8050322,30,30,15,49,30,30,42,50, 170 [] ,42.4350471496582
15300,-3939.3898,2,8050322,30,26,15,41,30,5,33,28, 114 [] ,42.4350471496582
16200,-4067.6356,2,8050322,30,30,30,45,19,30,16,67, 150 [] ,35.0129356384277
17100,-5983.3395,2,8050322,30,30,42,15,11,9,15,48, 101 [] ,32.1148796081543
18000,-6191.5563,3,8050322,23,14,36,15,28,30,58,60, 194 [] ,23.139368057251
18900,-4248.7411,3,8050322,30,30,16,15,30,30,15,35, 128 [] ,21.8981418609619
19800,-7746.5644,3,8050322,30,30,15,52,30,30,34,28, 140 [] ,20.5159454345703
20700,-6956.9571,3,8050322,21,30,37,64,30,30,43,50, 171 [] ,19.9310398101807
21600,-6620.7362,3,8050322,5,30,15,43,30,30,59,15, 152 [] ,19.9310398101807
22500,-8803.006,3,8050322,5,30,46,28,15,30,53,62, 178 [] ,22.9939308166504
23400,-7295.0937,4,8050322,30,5,15,15,30,30,38,50, 166 [] ,22.6187324523926
900,-11.4044,0,8050322,10,30,10,37,10,30,14,33, 105.0 [] ,26.9126453399658
1800,-42.8937,0,8050322,30,18,15,44,12,30,67,59, 186 [] ,32.7132949829102
2700,-163.1212,0,8050322,5,30,63,15,5,30,15,15, 83 [] ,27.7701721191406
3600,-156.9148,0,8050322,15,6,38,50,7,30,15,46, 116 [] ,24.2938671112061
4500,-240.0899,0,8050322,30,5,50,39,5,30,36,22, 111 [] ,26.6304950714111
5400,-316.01,0,8050322,11,30,45,46,30,30,58,43, 179 [] ,20.5132026672363
6300,-368.561,0,8050322,7,19,42,33,14,30,45,45, 152 [] ,26.8231868743896
7200,-498.2844,1,8050322,18,27,21,60,23,30,37,41, 149 [] ,26.5478096008301
8100,-893.1338,1,8050322,5,30,15,63,30,12,27,67, 154 [] ,33.6555290222168
9000,-997.0702,1,8050322,30,30,15,59,30,30,20,30, 128 [] ,33.6555290222168
9900,-1330.5829,1,8050322,30,30,15,53,30,23,59,36, 166 [] ,33.2153968811035
10800,-1598.7406,1,8050322,30,5,54,34,12,30,48,61, 169 [] ,35.4286041259766
11700,-1631.4944,1,8050322,19,30,38,53,10,21,15,48, 112 [] ,35.4286041259766
12600,-2776.1457,1,8050322,30,8,15,20,30,30,65,35, 178 [] ,36.0083923339844
13500,-2717.726,1,8050322,11,5,15,69,17,30,39,61, 165 [] ,38.6194381713867
14400,-3342.3356,1,8050322,17,30,44,35,30,30,58,61, 197 [] ,37.4345436096191
15300,-3881.9093,2,8050322,30,30,65,15,14,30,69,59, 190 [] ,34.7731819152832
16200,-5205.8933,2,8050322,30,30,53,18,30,30,69,46, 193 [] ,38.21064376
17100,-5496.4289,2,8050322,30,29,45,41,19,30,25,15, 107 [] ,38.2106437683105
18000,-6062.6071,3,8050322,30,30,54,53,30,30,15,45, 138 [] ,31.9633331298828
18900,-5315.6713,3,8050322,30,30,63,36,12,30,61,65, 186 [] ,27.2215061187744
19800,-7676.8193,3,8050322,17,9,15,20,30,5,15,42, 110 [] ,23.020040512085
20700,-8451.4503,3,8050322,30,30,44,45,30,25,43,22, 138 [] ,23.020040512085
21600,-6896.128,3,8050322,30,30,36,26,30,30,43,50, 171 [] ,23.9795932769775
22500,-7312.1413,3,8050322,17,25,35,44,5,5,20,15, 63 [] ,23.9795932769775
23400,-7828.3977,4,8050322,8,16,29,36,30,5,48,43, 144 [] ,19.7713470458984
24300,-6168.8689,4,8050322,17,30,30,40,11,20,15,57, 121 [] ,19.7713470458984
900,-11.4044,0,8050322,10,30,10,37,10,30,14,33, 105.0 [] ,26.9126453399658
1800,-42.8937,0,8050322,30,18,15,44,12,30,67,59, 186 [] ,32.7132949829102
2700,-163.1212,0,8050322,5,30,63,15,5,30,15,15, 83 [] ,27.7701721191406
3600,-156.9148,0,8050322,15,6,38,50,7,30,15,46, 116 [] ,24.2938671112061
4500,-240.0899,0,8050322,30,5,50,39,5,30,36,22, 111 [] ,26.6304950714111
5400,-316.01,0,8050322,11,30,45,46,30,30,58,43, 179 [] ,20.5132026672363
6300,-368.561,0,8050322,7,19,42,33,14,30,45,45, 152 [] ,26.8231868743896
7200,-498.2844,1,8050322,18,27,21,60,23,30,37,41, 149 [] ,26.5478096008301
8100,-893.1338,1,8050322,5,30,15,63,30,12,27,67, 154 [] ,33.6555290222168
9000,-997.0702,1,8050322,30,30,15,59,30,30,20,30, 128 [] ,33.6555290222168
9900,-1330.5829,1,8050322,30,30,15,53,30,23,59,36, 166 [] ,33.2153968811035
10800,-1598.7406,1,8050322,30,5,54,34,12,30,48,61, 169 [] ,35.4286041259766
11700,-1631.4944,1,8050322,19,30,38,53,10,21,15,48, 112 [] ,35.4286041259766
12600,-2776.1457,1,8050322,30,8,15,20,30,30,65,35, 178 [] ,36.0083923339844
13500,-2717.726,1,8050322,11,5,15,69,17,30,39,61, 165 [] ,38.6194381713867
14400,-3342.3356,1,8050322,17,30,44,35,30,30,58,61, 197 [] ,37.4345436096191
15300,-3881.9093,2,8050322,30,30,65,15,14,30,69,59, 190 [] ,34.7731819152832
16200,-5205.8933,2,8050322,30,30,53,18,30,30,69,46, 193 [] ,38.2106437683105
17100,-5496.4289,2,8050322,30,29,45,41,19,30,25,15, 107 [] ,38.21064376
18000,-6062.6071,3,8050322,30,30,54,53,30,30,15,45, 138 [] ,31.9633331298828
18900,-5315.6713,3,8050322,30,30,63,36,12,30,61,65, 186 [] ,27.2215061187744
19800,-7676.8193,3,8050322,17,9,15,20,30,5,15,42, 110 [] ,23.020040512085
20700,-8451.4503,3,8050322,30,30,44,45,30,25,43,22, 138 [] ,23.020040512085
21600,-6896.128,3,8050322,30,30,36,26,30,30,43,50, 171 [] ,23.9795932769775
22500,-7312.1413,3,8050322,17,25,35,44,5,5,20,15, 63 [] ,23.9795932769775
23400,-7828.3977,4,8050322,8,16,29,36,30,5,48,43, 144 [] ,19.7713470458984
24300,-6168.8689,4,8050322,17,30,30,40,11,20,15,57, 121 [] ,19.7713470458984
