time,SYNCHRO,StopTimeReward,QueueReward
05:15:00 AM,11.7,12.61,13.25
05:30:00 AM,15.4,16.7,16.25
05:45:00 AM,14.96,14.05,13.75
06:00:00 AM,15.24,13.56,10.79
06:15:00 AM,22.03,21.9,21.73
06:30:00 AM,20.1,22.61,22.67
06:45:00 AM,23.97,23.82,23.92
07:00:00 AM,23.33,25.52,25.52
07:15:00 AM,26.13,34.31,32.35
07:30:00 AM,28.54,42.94,40.01
07:45:00 AM,26.79,41.97,36.62
08:00:00 AM,26.67,40.61,42.1
08:15:00 AM,28.61,43.93,40.3
08:30:00 AM,36.32,49.92,43.89
08:45:00 AM,38.12,46.25,45.22
09:00:00 AM,31.38,45.96,47.63
09:15:00 AM,23.09,41.13,34.62
09:30:00 AM,38.16,38.05,39.34
09:45:00 AM,21.49,40.42,35
10:00:00 AM,20.7,34.89,29.63
10:15:00 AM,19.71,28.12,28.37
10:30:00 AM,20.72,31.63,26.64
10:45:00 AM,21.33,29.16,25.56
11:00:00 AM,18.95,28.99,24.14
