training_iteration,episode_reward_max,five_min,te,s,thirty_min,ten_min_1,www,rand_min,,,ten_min
1,-8.910303141,-9.6418924331665,-8.75551545151615,-8.75551545151615,-10.6923637692,-8.03554941593798,-9.69,9.022223,-2253.82763671875,211.207267203704,-12.2718399633794
2,-8.910303141,-8.69602298736572,-9.60165910565479,-9.60165910565479,-8.83624541682101,-8.8121146773968,-8.07082577,-8.3479779269418,-1579.80407714844,,-8.60185689997339
3,-7.972516389,-8.49293804168701,-9.47365873307417,-9.47365873307417,-8.83624541682101,-8.69463977545348,-8.07082577,-8.3479779269418,-1431.13049316406,,-7.79234582658248
4,-7.972516389,-8.49293804168701,-9.47365873307417,-9.47365873307417,-8.83624541682101,-8.69463977545348,-8.216940379,-8.49911011161486,-1507.8466796875,,-8.21005690096925
5,-8.394205391,-8.49293804168701,-9.14924765042857,-9.14924765042857,-8.81015726060117,-8.39690501613383,-8.14169947,-8.4212854297998,-1408.17395019531,,-7.66735001198014
6,-8.394205391,-8.49293804168701,-9.14924765042857,-9.14924765042857,-8.81015726060117,-8.39690501613383,-8.14169947,-8.4212854297998,-1561.2099609375,,-8.50061401223718
7,-8.17223533,-8.49293804168701,-9.14924765042857,-9.14924765042857,-8.81015726060117,-8.39690501613383,-7.853551172,-8.12324211924648,-1502.47045898438,,-8.18078397920643
8,-8.17223533,-8.49293804168701,-9.38303302003339,-9.38303302003339,-8.75182176149332,-8.61146621479604,-7.853551172,-8.12324211924648,-1489.31689453125,,-8.10916428864671
9,-8.007339158,-8.49293804168701,-9.38303302003339,-9.38303302003339,-8.75182176149332,-8.61146621479604,-8.253373321,-8.53679416084314,-1530.50927734375,,-8.33345221614821
10,-8.007339158,-8.49293804168701,-9.51914861202616,-9.51914861202616,-8.75182176149332,-8.73638902165925,-8.253373321,-8.53679416084314,-1467.87170410156,,-7.99239761995839
11,-8.580585027,-8.49293804168701,-9.51914861202616,-9.51914861202616,-8.82655074535843,-8.73638902165925,-8.253373321,-8.53679416084314,-1568.51379394531,,-8.54038256788485
12,-9.312514559,-8.49293804168701,-9.51914861202616,-9.51914861202616,-8.84713788020809,-8.73638902165925,-8.383877727,-8.67178008814518,-1576.68737792969,,-8.58488682053903
13,-8.883370125,-8.49293804168701,-9.56592312509963,-9.56592312509963,-8.83546457778162,-8.77931726652269,-7.779145622,-8.04628148265948,-1610.02282714844,,-8.76639462142633
14,-8.883370125,-8.49293804168701,-9.56190385146154,-9.56190385146154,-8.83546457778162,-8.77562849775586,-7.779145622,-8.04628148265948,-1535.42590332031,,-8.36022269591392
15,-8.883370125,-8.49293804168701,-9.56190385146154,-9.56190385146154,-8.83546457778162,-8.77562849775586,-8.140552781,-8.42009936349954,-1523.07385253906,,-8.29296715785169
16,-9.251326918,-8.49293804168701,-9.56190385146154,-9.56190385146154,-8.85646659798142,-8.77562849775586,-8.140552781,-8.42009936349954,-1488.48352050781,,-8.10462666009045
17,-8.390916984,-8.49293804168701,-9.4685502640926,-9.4685502640926,-8.85646659798142,-8.68995137587627,-8.140552781,-8.42009936349954,-2310.58471679688,,-12.5808759305315
18,-8.390916984,-8.49293804168701,-9.4685502640926,-9.4685502640926,-8.85646659798142,-8.68995137587627,-8.436785737,-8.72650495920858,-1383.05053710938,,-7.53055583140413
19,-8.390916984,-8.49293804168701,-9.4685502640926,-9.4685502640926,-8.85646659798142,-8.68995137587627,-8.201824986,-8.48347565601924,-1411.05358886719,,-7.68302932319182
20,-8.033748195,-8.70528888702393,-9.51247963957112,-7.657669893,-8.88596687607595,-8.73026843880919,-8.201824986,-8.48347565601924,-1445.54455566406,,-7.87082878834067
21,-8.033748195,-8.62794017791748,-9.51247963957112,-7.572317754,-8.88596687607595,-8.73026843880919,-8.409584028,-8.69836914352152,-1393.09985351563,,-7.58527323777084
22,-8.433281197,-8.62794017791748,-9.41228795003542,-7.530517802,-8.87035147364479,-8.63831551190401,-7.665707784,-7.92894818930256,-1515.81811523438,,-8.25346047794023
