time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
900,4.76950329766,32.7640151509,40.6770827487,41.6671,98.775,52.9982,6148
900,5.01257535746,30.530217502,41.0403702349,39.501,97.1263,52.3209,4105
1800,5.45330470908,34.4303878773,39.3336367601,44.018,101.4579,62.0027,6148
900,4.72378547985,29.9636115041,41.9387225058,38.5269,95.8564,49.0471,7378
1800,5.35664326787,30.905784478,40.8335106609,39.9225,97.3586,56.2889,4105
2700,5.41551711721,34.5397938681,39.4938161143,44.196,101.5248,59.4658,6148
900,5.22199400898,32.984299906,40.2992149114,42.3042,99.498,56.5182,1667
1800,5.51319300326,33.7281011855,39.6567064377,43.3672,100.5871,60.6996,7378
2700,5.56363626744,32.1484171541,40.7968226572,41.693,98.7632,59.9031,4105
3600,5.35027133935,30.2249033178,41.0994552117,39.3635,96.7602,56.2667,6148
900,5.19202916342,32.5703795886,40.4699462468,41.5417,98.9117,56.5876,4177
1800,5.48427484576,33.1840586153,40.0214756353,42.7121,100.311,60.272,1667
2700,5.00780197971,30.0402176908,41.2596338405,39.0797,96.4618,51.9511,7378
3600,5.28238503467,33.261280609,39.7108831238,42.9293,100.2931,57.232,4105
4500,5.27029237613,32.1765397784,40.5265368802,41.5501,98.8546,54.3644,6148
1800,5.49151415934,37.4991780049,39.1474613448,47.2794,104.7348,66.2702,4177
2700,5.50469137588,32.362826466,40.2719341779,41.9084,99.1668,57.9858,1667
3600,5.66102912942,33.7998516604,39.8372663566,43.3494,100.8514,61.0836,7378
4500,5.71333218337,34.8152720595,39.2421523856,44.7865,102.1228,61.6133,4105
5400,5.86348031282,33.3602923785,40.0039852585,42.8889,100.1731,63.2356,6148
2700,5.25495665082,31.9738134698,41.1104027606,40.9315,98.2744,54.6969,4177
3600,5.66449981137,35.6073911902,38.5523141773,45.4855,103.2304,62.9191,1667
4500,5.33839503133,32.6182294447,40.8485092105,41.8122,98.9038,57.2667,7378
6300,5.7247759868,33.763879413,39.3120700175,43.4288,100.8403,61.6347,6148
5400,5.93944977956,33.8016736899,39.6670733145,43.2373,100.6746,64.9547,4105
3600,5.59042141688,33.0682453945,40.1651659132,42.3094,99.8347,60.4516,4177
4500,5.7037141759,31.4557617805,40.5920891346,40.7034,98.1262,61.5591,1667
5400,5.60664623727,34.2917370662,39.4663254935,43.8674,101.1069,59.8791,7378
7200,5.43670889713,31.4770857173,41.0233113581,40.4018,97.6987,55.7804,6148
6300,5.50653031808,34.2847597767,39.6348947111,43.8507,100.8844,58.0516,4105
4500,5.59302942171,33.0901586347,39.8080693449,42.8508,99.9786,59.0044,4177
5400,5.70434810871,35.0635800941,39.8037920023,44.4087,101.3805,63.5796,1667
6300,5.80538749427,32.0407419434,40.5263912032,41.0599,98.4299,63.1013,7378
7200,5.46444093954,32.2499925333,40.506962285,41.3126,98.2942,59.3858,4105
5400,5.28523148251,31.6314469053,40.488734567,40.7623,97.9059,55.5636,4177
8100,6.48015653488,40.9699727445,38.6384249178,51.0319,108.9167,77.7564,6148
6300,5.66184184791,33.7669208189,39.8108816253,43.2692,100.6943,62.2364,1667
7200,5.43818101845,33.3640021332,39.5487357206,42.7693,100.3403,57.0471,7378
6300,5.78402043669,34.3134193508,39.4530052662,44.0675,101.1056,64.1733,4177
8100,5.89500255924,34.896599909,40.0002280853,44.4933,102.268,64.4649,4105
9000,6.10577944705,32.6584871742,40.7308537314,42.2038,99.7248,64.9476,6148
7200,5.39621334886,32.2274230714,40.3908908776,41.5167,98.7478,56.6871,1667
8100,6.42626315567,36.9583305659,39.4639584972,46.6451,104.3712,75.0507,7378
7200,5.95273292025,34.3330160074,39.1828332583,44.0558,101.8458,66.1929,4177
9000,6.24851804029,32.0815183229,40.6374802359,41.7355,99.375,62.2773,4105
9900,6.17336062633,33.4372814023,40.5512778345,42.7776,100.6247,64.2053,6148
8100,6.13727290288,33.9886888165,40.0601376862,44.2593,101.8577,65.4009,1667
9000,6.03304791337,34.5259113373,39.9213085751,44.0501,102.0044,65.4631,7378
8100,6.26230888959,37.7978838947,39.2127839468,47.7877,105.4039,71.704,4177
9900,6.1387999745,36.2491427053,40.0419484916,45.836,103.4276,66.8356,4105
10800,6.14788941844,35.1653457713,39.5958921835,45.0242,103.0938,65.6933,6148
9000,6.31980838792,34.0293276193,40.1562860716,43.6491,101.3488,65.6133,1667
9900,6.27031063906,34.1647880853,39.6388177918,44.1026,102.0712,66.5716,7378
9000,6.09983279123,34.6966313378,39.961565073,44.2776,102.0528,65.7644,4177
10800,5.82285202127,33.149398971,40.7173353812,42.4997,100.4483,61.2027,4105
11700,6.90961337534,37.6003307744,39.073979891,48.04,105.8848,78.552,6148
9900,6.10196590521,34.0197066819,39.9245852849,43.6306,101.6834,65.6267,1667
10800,6.54647075351,34.2583384084,39.9005481615,44.0293,101.8035,68.8124,7378
9900,6.43038492416,34.4149002637,39.8477071024,44.5801,102.884,67.5298,4177
11700,6.53241812331,33.2721868675,40.5384895143,42.8174,100.9408,70.0196,4105
12600,6.76476672336,37.0066101804,39.053331095,47.4459,105.1793,77.3182,6148
10800,6.43226123147,35.0766810997,39.500776081,45.1686,103.0752,68.0853,1667
11700,7.5218434517,48.6113886269,36.3503183747,59.7514,118.0313,96.624,7378
10800,6.32867596402,34.4960019489,40.0472814268,44.204,102.2117,69.1796,4177
12600,7.00456587982,36.3048264654,39.1716175002,46.8724,104.6735,77.0836,4105
13500,6.43205271025,36.5329643171,39.5866159529,46.7065,104.7162,71.1778,6148
11700,6.7268906338,35.6013560784,39.5960792392,45.5443,103.2947,74.552,1667
12600,6.80871642834,35.1524387549,39.2744316778,45.6468,103.499,73.056,7378
11700,6.65913223163,35.5239509984,40.0293128466,45.333,103.3841,71.3129,4177
13500,6.79959901357,38.1385949482,39.1951785894,48.2756,106.0832,77.5333,4105
14400,6.85091155554,35.5673800344,39.2343341421,46.2161,103.8607,74.7778,6148
13500,6.65202713585,34.8536075107,39.8339084105,44.6878,102.6723,72.6667,7378
12600,6.88225441047,38.0547570896,39.0544508764,48.1581,106.0785,77.2836,1667
12600,6.72905588243,35.7241364849,39.3158531943,45.5403,103.4629,74.8427,4177
14400,6.46747478333,33.3403013429,39.8814770841,43.5197,101.2782,67.8507,4105
15300,6.3706253099,35.0110425195,39.84446033,44.7567,102.5936,69.3707,6148
13500,6.78879081732,35.6733580698,39.4028414947,45.5952,103.5369,74.3351,1667
14400,6.96993337571,36.8782734997,38.807794608,47.129,105.1625,78.9422,7378
13500,6.57376446043,35.7042712678,39.3457956528,45.6633,103.7676,72.9262,4177
15300,6.62872433281,34.5143670698,40.0350089762,44.4278,101.7294,71.4729,4105
16200,6.93617556446,37.906883468,39.3317275267,47.9649,105.3353,81.7956,6148
15300,6.83864813977,35.1138299695,39.6226651454,44.9552,102.4941,76.1271,7378
14400,6.5788011193,35.0872544251,39.902190898,44.7489,102.7217,69.7956,1667
14400,7.30115123452,39.4695664883,38.4026044903,50.0002,107.7695,85.696,4177
16200,7.08623339038,38.7104705361,38.8310527803,49.2729,106.781,83.3022,4105
