time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
900,5.12710626172,27.0988418491,41.9567507775,37.2858,94.6908,49.96,1818
1800,5.98420566538,37.5365448966,38.6726539943,48.4093,105.7744,71.2587,1818
2700,5.55864780132,29.0033897984,40.5742932052,39.6849,97.1365,55.5573,1818
3600,5.44637037101,28.2706259581,40.8513504813,38.5643,96.1778,54.1591,1818
4500,5.32840303032,27.053302964,42.2224372616,36.3407,93.3535,49.7849,1818
5400,5.28531244725,26.2420941161,42.8404760815,35.4333,92.6425,48.9147,1818
6300,5.41847328974,30.6693932296,41.4210369816,39.8677,97.0852,58.4116,1818
7200,5.31878658791,30.6098539822,40.923151773,39.9524,97.424,55.7876,1818
8100,8.4653046504,42.1601129894,36.415079333,54.4502,111.5884,103.2827,1818
9000,9.85163220358,47.4953345062,34.8491587943,60.2473,117.8111,136.8204,1818
9900,10.1491808039,54.2809782245,34.3663887436,68.1301,125.1909,150.9076,1818
10800,9.84491181549,49.5227472688,35.0004558907,63.2609,120.3077,137.9013,1818
11700,7.49609843184,46.8316323412,36.6784555541,58.8976,116.1935,95.5378,1818
12600,6.17830239612,32.7352087838,39.9887518091,42.4037,99.5353,66.6791,1818
13500,5.91156505852,34.6821864213,39.4217882883,44.5157,102.1976,62.5173,1818
14400,6.07551997061,32.8253780741,39.8432945749,42.6892,100.1917,64.7893,1818
900,5.0108705104,26.8317583039,41.9078799439,36.6659,94.0767,49.0444,6510
1800,6.21097762161,37.9961400345,38.7405039211,49.3482,106.6812,76.4204,6510
2700,6.48022393304,37.7267260728,38.4712645656,49.5372,107.1117,73.9822,6510
900,5.05834335621,25.5517543649,42.2658156758,35.9605,93.2565,47.5893,6024
3600,5.74350860192,28.2810166562,40.6973293863,39.1133,96.8869,57.6258,6510
1800,5.70020691426,30.5045246371,40.3367637132,41.0744,98.1595,58.1164,6024
900,5.13752151495,27.7148074366,41.699576137,37.6121,94.9671,51.0889,8233
4500,5.44847436315,26.2097409175,42.7126356517,35.7693,92.8926,50.4587,6510
2700,5.72533922182,29.5672876215,40.5423153125,40.2755,97.8797,60.0498,6024
1800,6.02618828862,28.2030994205,40.6380286302,38.9175,96.3036,59.9502,8233
5400,5.09008809017,26.4420940419,42.7630278139,35.6931,92.5034,47.8782,6510
3600,5.67034041867,29.7948778917,40.4429027621,40.0329,97.5132,58.528,6024
2700,6.01975913848,29.8499158303,39.5688690663,41.1623,98.8671,61.7191,8233
6300,5.57357880775,35.0319353614,39.5915678621,44.908,101.8959,63.2747,6510
900,4.9893683045,27.7138922926,41.9153750232,37.3401,94.6661,49.3307,8639
4500,5.3020793304,25.6859226748,42.7543218629,35.154,92.2533,49.6284,6024
