time,density,speed,stop_time,delay_time,travel_time,mean_queue,seed
900,5.33896312345,31.9225045824,39.3995241377,42.4401,99.51,57.5289,8743
1800,5.6945614089,31.2193561212,39.6680654737,42.0686,99.6064,59.7538,8743
2700,5.52569283438,29.3485914982,40.0991774087,39.614,96.8953,55.9893,8743
3600,6.07627152033,31.4409650524,39.2145743499,42.1132,99.6052,65.2116,8743
4500,5.30288057394,28.5102162058,40.57143443,38.4731,95.5671,54.0453,8743
5400,5.65859119746,30.7313169894,39.6568571752,41.4758,98.57,58.104,8743
6300,5.87671125682,34.9828752351,39.1590858175,44.8985,102.1229,67.0587,8743
7200,5.6744371282,31.6784662322,40.6197723743,41.002,98.525,60.9093,8743
8100,5.99314870527,34.4623698698,39.095926169,44.8555,102.3607,71.7858,8743
9000,6.89027408877,43.2437356897,36.5289239832,55.5902,112.9262,101.8987,8743
9900,8.12107928134,67.4402028468,33.2170841636,83.5745,141.0776,126.3156,8743
10800,7.72437324865,47.1118097616,35.5931192606,59.3871,116.8097,112.0107,8743
11700,5.83947099652,36.2357333567,38.727967097,46.5105,103.7077,65.08,8743
12600,6.20436216762,34.8512705058,39.3416127609,44.8122,101.7419,69.0987,8743
13500,5.7029994364,33.4286574404,39.5677655316,43.333,101.1101,61.7076,8743
14400,5.95209008038,34.7618645737,39.0333301704,45.0193,102.458,67.2498,8743
900.0,5.29393482474,32.0547977461,39.5353085356,42.7730,99.9165,56.6427,1288.0000
1800.0,6.08788333526,33.2656705845,38.5209515215,44.3277,101.8563,66.8071,1288.0000
900.0,5.07890738986,30.1548549428,39.9868795463,40.5362,97.8265,54.3582,3251.0000
1800.0,5.72789365012,30.9224302228,39.5709076002,41.8244,99.3345,60.0604,3251.0000
900.0,5.19894903673,30.4989143205,39.9014243915,41.1151,98.7542,54.1458,4162.0000
2700.0,5.701365807,31.0020173049,39.4370325591,42.1214,99.6728,58.7467,1288.0000
1800.0,5.7147235274,31.6737762416,39.0144840531,42.6838,100.0734,61.3342,4162.0000
2700.0,5.77243944576,31.8396970127,39.1449559241,42.4254,99.8207,60.9813,3251.0000
3600.0,5.55641661755,29.2764204709,40.0678946934,39.7342,97.1035,56.3182,1288.0000
900.0,5.28600578262,33.6750186803,39.1199435554,44.2256,101.4520,57.7164,3126.0000
3600.0,5.41142129289,30.2829206939,40.1629852001,40.3746,98.0812,56.3111,3251.0000
2700.0,5.79578512919,32.1371856011,39.0470794692,43.5263,100.5681,61.8960,4162.0000
4500.0,5.5175527852,31.5444192751,39.7582207589,41.7239,99.2414,57.3831,1288.0000
1800.0,5.24257657968,29.0873555949,39.7744573304,39.7410,97.5398,52.5271,3126.0000
900.0,5.12902073888,29.8327283025,39.8859874688,40.5279,97.9894,52.3004,1677.0000
4500.0,5.7388328101,29.5219429992,40.0475685111,40.2599,97.5551,58.4533,3251.0000
3600.0,5.91855067416,31.8011429499,39.224633731,42.6005,99.9831,64.0640,4162.0000
5400.0,5.69103682991,32.1136014362,39.4960099759,42.8733,99.7681,59.1244,1288.0000
2700.0,5.52529189558,29.9745803182,39.6731663275,40.6898,98.0507,56.6044,3126.0000
1800.0,6.06429919035,32.1268503078,39.044173359,42.5918,100.2930,66.7458,1677.0000
900.0,4.96482909257,29.7782828274,40.3350620495,40.3266,97.7017,50.5280,6515.0000
5400.0,5.29197801957,29.8927393295,40.4269935139,40.1596,97.3629,53.7840,3251.0000
4500.0,5.49606103328,30.1343110629,40.2168607784,40.4607,97.6996,56.0364,4162.0000
3600.0,5.98631557245,30.9107246279,39.2717576722,42.2354,99.5601,62.4898,3126.0000
2700.0,5.49263997673,31.4158147581,39.2225014846,42.1636,99.4389,57.6702,1677.0000
6300.0,5.77503967802,33.7817754493,39.6093232454,43.5889,101.2182,65.5902,1288.0000
1800.0,5.5608310982,29.8286824633,40.1587865468,40.1016,97.6416,58.3227,6515.0000
6300.0,5.97478552314,36.2146157185,38.8934149958,46.4264,103.4651,68.4329,3251.0000
900.0,5.31411925874,31.8732908889,39.6612915782,42.0322,99.5444,56.5600,1167.0000
5400.0,5.66857957932,29.7567837024,40.4892824257,39.9652,96.9383,58.1520,4162.0000
4500.0,5.44449719692,29.9634768779,40.4334603942,40.2665,97.5413,54.6053,3126.0000
2700.0,5.51168995096,31.3323758882,39.4248606797,42.0621,99.6428,57.5111,6515.0000
3600.0,5.95457452203,31.3097154733,39.6361652082,42.1993,99.5034,63.7698,1677.0000
1800.0,5.5748787058,29.9502263479,39.7837792995,40.6241,98.0236,58.7449,1167.0000
7200.0,5.89319458725,31.3025833548,40.4146691089,41.0763,98.0550,63.7547,3251.0000
6300.0,5.62823715536,33.8044561762,39.966147084,43.5263,100.8470,63.7351,4162.0000
7200.0,5.93903489756,33.2259912163,39.5874699902,43.7648,100.8955,64.4907,1288.0000
5400.0,5.51235955308,31.3557040404,40.1034487786,41.3931,98.7353,57.9689,3126.0000
3600.0,5.68761244006,32.3305548682,39.3623987513,42.5287,99.8305,62.6693,6515.0000
4500.0,5.60796536416,31.0209016854,39.7508128634,41.5164,99.1930,58.2444,1677.0000
2700.0,5.71342094776,30.988524073,39.7103622053,41.8042,98.9812,60.4409,1167.0000
7200.0,5.65114900706,32.2786669963,40.031222361,42.1738,99.6904,60.1529,4162.0000
