time,density,speed,stop_time,delay_time,travel_time,mean_queue,seed
900,5.43553754117,31.5386629105,39.547813112,42.2221,99.3632,59.1431,3400
1800,5.83031726563,33.6804314716,38.5394512705,44.6059,102.3343,63.7591,3400
2700,5.72619817081,30.984481978,39.5094545288,41.5405,99.315,60.6044,3400
3600,5.59041245681,30.7074271719,39.7613732786,41.1113,98.6333,58.312,3400
4500,5.91018400118,31.375073005,39.5823185244,41.7648,99.2886,62.424,3400
5400,5.55434062363,30.0318025777,40.2216616276,40.5453,97.2851,57.5351,3400
6300,5.57883836834,32.7452103777,40.9661728915,42.0166,99.2459,62,3400
7200,5.57283675243,31.2480582232,40.163350444,41.0828,98.5296,59.7556,3400
8100,9.02906583952,41.961974085,36.6235024449,53.9016,111.0295,110.3129,3400
9000,9.14342033246,42.9009840469,36.3599798981,54.9125,112.0041,115.9813,3400
9900,10.923359825,54.2634117705,33.8442886536,67.756,125.3924,162.096,3400
10800,10.6834803541,66.2240182692,35.1605834366,79.2974,136.1958,168.2258,3400
11700,7.57185476953,65.5899329188,35.9367475145,77.4747,135.2374,107.6987,3400
12600,6.74751350513,40.7343577121,38.9912996622,51.4821,108.521,85.0062,3400
13500,6.06458837586,38.1704339725,39.595342515,47.9931,105.4598,69.1733,3400
14400,6.08026608712,31.884694261,40.2600647446,41.8259,99.1294,66.6782,3400
900,5.51731312416,30.7137421419,39.638401182,41.2647,98.7576,59.5173,8160
1800,5.90621836086,31.8519384825,38.9159659531,43.2751,101.0152,61.6213,8160
900,5.0737616548,32.147537334,39.5190271864,42.6404,99.8965,54.4009,1425
2700,5.57021098446,31.1745593662,39.38672995,41.7247,99.3635,58.4036,8160
1800,5.83213983149,30.6088694769,39.6260091172,41.2195,98.9191,60.7031,1425
900,5.11515191809,31.3802430784,39.5630071986,41.8327,99.172,54.616,4990
3600,5.48235528922,30.7338707727,39.7356557771,41.2215,98.4844,57.8764,8160
2700,5.88850001888,32.0280598974,39.0626973645,43.2112,100.6914,63.4827,1425
1800,5.54285998923,30.4144523483,39.4983474577,41.2265,98.743,57.6133,4990
900,5.42534175958,31.9822534093,39.3215099273,42.6202,100.2073,59.2951,3527
3600,5.3817591373,32.2369699424,39.0808511763,43.1575,100.434,57.7911,1425
4500,5.45838722312,29.2417400156,40.6676147818,39.4953,96.5595,53.6569,8160
2700,5.1861960486,30.8224527526,39.6227877119,41.2261,98.5972,53.6347,4990
1800,5.54980834028,30.7136595009,39.2407087064,41.5731,99.2336,58.1644,3527
4500,5.17086736663,28.5070350722,41.1043486942,38.3142,95.4115,52.2187,1425
900,5.76277991307,32.4679441799,39.0774595882,43.2143,100.805,62.6987,4793
3600,5.73779258496,31.4860387942,39.2931597044,42.2365,99.4506,62.0507,4990
5400,5.44086128661,30.1379864483,40.4803907949,40.2146,97.5251,55.7618,8160
2700,5.69500348322,30.0635502684,39.8766068896,40.4622,97.6516,59.0089,3527
5400,5.65842976067,30.534010998,40.1300186616,41.0355,98.2199,57.8329,1425
1800,5.67174590285,29.1077338095,40.4702143268,39.3601,96.4283,57.6391,4793
4500,5.6235098396,30.2098895229,39.7873275144,40.7981,97.9068,58.1796,4990
900,5.2826917498,30.7216959559,39.9858136842,41.3941,98.8248,56.0267,4285
6300,5.73586271887,35.6285893013,40.016678637,45.0987,102.1156,65.816,8160
3600,5.95622140888,32.7987797899,38.8774781466,43.5548,100.6348,64.5707,3527
6300,5.72456623009,33.6839178065,40.0635959717,43.6517,100.7728,63.8693,1425
2700,5.46659120853,31.4153071385,39.5274234233,41.92,99.3876,58.6347,4793
5400,5.43092975125,29.0587983334,40.7183678377,39.1774,96.2089,54.9067,4990
1800,5.28685991192,29.1533749415,40.4572039172,39.064,96.8469,54.4142,4285
7200,5.91834395521,33.0206454595,39.5896191003,43.0362,100.61,66.1653,8160
900,5.09979229639,30.5460780128,39.7862279478,41.0055,98.7072,53.9129,4520
4500,5.93382661208,32.3528379764,39.5767822089,42.8905,100.4966,62.7858,3527
7200,5.63538454999,32.1791880658,40.1897033392,41.9315,99.1029,61.2871,1425
3600,5.20193632585,29.9258802556,40.3810627967,40.1759,97.3293,53.0836,4793
6300,5.85687502196,35.3399753079,39.4411272645,45.4554,102.7785,68.0391,4990
2700,5.96465265202,31.0408501229,39.2216046576,41.8756,99.3863,62.7084,4285
1800,6.12690065413,32.6064174446,38.7546637642,43.7477,101.4763,66.6667,4520
5400,5.76004565558,29.6745170435,39.9698821337,40.2383,97.5738,58.6018,3527
8100,9.92681932136,46.4136419287,35.4494375997,59.1277,116.3142,136.1618,8160
4500,5.64823738079,30.689297977,39.7947000531,41.2493,98.7576,58.9973,4793
7200,5.99852962851,33.8788859218,39.2497033034,44.2738,101.9105,65.7076,4990
3600,5.66329094944,31.5491759094,39.6258229436,42.0837,99.4469,61.064,4285
8100,9.59120579528,46.9076440367,35.5694215388,59.6624,116.4105,126.7013,1425
2700,5.96787819832,32.9272969813,38.5341072285,43.9665,101.4145,65.3111,4520
6300,5.86934767987,37.0550613079,38.9483865728,47.2555,104.4659,68.9991,3527
5400,5.5661706668,30.6777045643,40.0091084902,41.0734,98.2733,58.1751,4793
4500,5.70318859809,32.6695948471,39.4237622676,43.1997,100.5061,61.6,4285
3600,5.68707482424,31.1164657265,39.4173512337,41.8594,99.1131,59.9004,4520
8100,9.92067581771,47.8566305402,34.9208071257,61.4259,118.5568,133.5538,4990
9000,11.4940399619,59.1757642867,32.324401729,75.0875,132.3787,168.4347,8160
9000,11.0268746485,56.9427503067,33.2165302802,71.6009,128.8603,169.0151,1425
7200,5.43222284971,31.3489640931,40.5207709818,41.012,98.5375,58.0356,3527
6300,5.66319448276,35.2250654197,39.5985878597,45.0495,102.1217,65.512,4793
5400,5.91299991272,30.7723512678,40.0037022617,41.1705,98.5926,62.1253,4285
4500,5.81927167986,29.9513549285,40.48340392,40.23,97.454,59.3778,4520
7200,5.68892738882,32.4824791674,39.7404652118,42.9861,100.2097,60.0409,4793
9000,10.2560688145,53.8562932559,33.5752023147,67.4651,124.8247,143.6533,4990
6300,5.96301348454,35.9038196309,39.4838777505,45.7562,102.9004,69.5049,4285
8100,9.85795235229,46.2438541085,35.4181485201,59.4597,116.505,135.6871,3527
9900,10.4473075716,55.4339284217,33.145282913,70.4264,127.9366,142.2702,1425
9900,11.4193029156,54.8593427336,33.1289962022,70.2822,127.2688,175.8222,8160
5400,5.68322108872,29.4672419669,40.4927596712,39.9801,96.9582,57.9716,4520
7200,5.57022167111,33.7665797519,39.6028903166,43.8993,101.1496,60.4924,4285
8100,8.37219999342,40.4831997137,36.5531067894,52.7417,109.7007,100.976,4793
6300,5.4717730318,33.8582471565,40.3575150588,43.2016,100.3069,61.2987,4520
9900,9.79794600326,47.2326102752,34.8547595626,60.1714,117.8008,130.7271,4990
9000,10.6380135179,55.1406242862,33.8557895272,69.4091,126.5558,160.6364,3527
10800,10.4942097989,53.9905227825,33.3674766604,68.0392,125.2982,148.6071,1425
10800,11.0682565913,61.6258871333,32.5522591268,76.6258,133.9559,165.2907,8160
7200,5.63478642792,31.854611554,40.2736201925,41.8385,99.236,60.3102,4520
8100,9.20910581568,43.8594593111,35.7381858962,56.8825,114.4238,122.6196,4285
9000,9.41195418198,43.046780101,35.6123499053,55.6655,112.6783,121.504,4793
11700,6.78801057258,39.5497672511,37.3098179455,51.4659,108.6939,79.1129,1425
10800,9.92212807546,46.6968324059,35.5578559327,59.573,117.0943,134.4524,4990
9900,9.75797745653,50.9170662181,34.1482858098,64.6028,121.8635,126.5182,3527
11700,7.84570814209,55.3419555576,36.0739180674,67.3203,124.8321,112.4018,8160
8100,9.05054477294,42.3772955996,36.6654002613,54.5634,111.7791,112.8142,4520
9000,9.45354836898,50.7128091932,35.477254868,63.2115,120.4668,127.824,4285
12600,6.42558537161,34.8365372791,38.9018508579,45.266,102.6803,70.3644,1425
11700,6.92984245925,47.7324406387,35.7873384711,59.7123,117.1545,88.4364,4990
9900,10.1969633125,53.8840711773,34.2057245578,67.4211,124.6205,145.3298,4793
12600,5.9874271059,35.0211840523,39.7645954827,44.9195,102.295,63.3867,8160
10800,10.371244895,56.7374197043,33.5196853903,70.8067,128.1973,143.4258,3527
13500,6.18964783392,36.1680076978,38.4751865823,46.4853,104.113,68.8124,1425
12600,6.10675795347,33.6730307349,39.9651654682,43.2716,100.5209,67.3476,4990
9000,9.73258976052,47.4144328641,34.7304160507,60.8236,118.0819,127.0347,4520
9900,9.54266540286,45.7909103611,35.6262667926,58.369,115.5287,127.1031,4285
13500,6.19848967835,32.7680856367,39.9467537452,42.807,100.0448,68.512,8160
10800,11.6255563155,62.5345392279,33.7108282889,76.8858,134.054,185.5636,4793
11700,6.57430074779,37.7502719159,38.3379542002,48.2469,105.3791,74.2587,3527
14400,6.01827942205,32.9701822363,40.1012616828,43.0709,100.0069,63.9067,1425
13500,6.00688804722,33.1983610284,39.4936975531,42.9261,100.4742,64.1404,4990
10800,11.0758112715,56.5461589349,33.915334008,70.0622,127.0017,171.9307,4285
9900,11.3046905602,59.6214598837,32.5910766547,74.3204,131.7951,172.4898,4520
12600,6.13206680618,33.7959743785,39.3201252434,44.1822,101.4452,65.8507,3527
14400,6.42781604281,35.2557520026,39.4445784171,45.3951,102.7531,71.5458,8160
11700,8.17930843845,67.847918263,34.7127424916,80.7845,138.2774,116.0436,4793
14400,5.69258078261,31.7569149114,40.7610880179,40.9346,98.3518,60.3671,4990
13500,6.08421428031,32.9338144657,39.6701192181,42.7191,100.6147,65.4987,3527
11700,7.27492372653,49.6572606218,36.1658828478,61.4943,118.934,93.7156,4285
12600,6.25081616244,36.1876080334,39.0041516196,46.2065,103.5387,70.1138,4793
10800,11.38438232,56.1510058774,33.2685002239,70.839,127.834,179.6604,4520
12600,5.67690525441,33.9149685855,40.1644131298,43.4214,100.5241,61.0373,4285
14400,6.12174412353,33.9881392428,39.3147657251,44.4105,101.5433,66.8142,3527
13500,6.0451760932,33.4411470415,39.5971463516,43.4588,100.8806,66.0693,4793
900,5.51981703459,30.3158324015,39.9741087942,41.2465,98.924,57.1298,8039
11700,8.7496706816,71.5745519348,33.9630185081,84.6973,142.2004,133.8987,4520
13500,5.90600345663,32.5511390907,39.8723800192,42.3666,99.6904,64.4169,4285
14400,6.44031930304,34.9042790272,39.036759631,45.1663,102.3811,71.192,4793
1800,5.84486983334,33.3174426092,38.2373405491,44.5536,102.2705,63.3396,8039
12600,6.23205368996,36.6856468958,39.2996581919,46.5722,103.7846,73.048,4520
14400,6.23746905714,35.6387607665,38.7832706161,46.2346,103.3381,69.344,4285
13500,6.09449605608,36.4101333257,39.9744823103,45.9521,103.1971,68.7378,4520
2700,6.07451347008,32.0892125102,38.8072503414,43.3228,101.0101,64.5058,8039
900,4.67537631443,30.7497732266,39.8390036625,41.3309,98.9527,49.3796,5066
14400,6.17766843842,33.9918589428,39.5651561413,44.0857,101.2263,68.2053,4520
3600,5.63289405909,31.2682964043,39.6734399619,41.9689,99.3577,59.9707,8039
1800,5.69569774217,29.8840462359,39.9611671886,40.6222,98.0159,59.384,5066
900,5.12260080719,30.8684927092,40.1152159848,41.2145,98.6209,54.0258,6749
4500,5.80186928565,32.3515641147,39.3674851485,42.8697,100.2547,61.1564,8039
2700,5.42750688936,30.0006072529,39.8496726814,40.5058,98.2292,55.536,5066
1800,5.93505849972,31.8548169128,39.1354651846,42.9751,100.4693,62.5147,6749
5400,5.51600594607,30.2621645474,40.4299725539,40.6051,97.7541,55.536,8039
3600,5.62325707155,31.0587578573,39.7377022653,41.443,98.7893,59.6044,5066
900,5.54887956919,33.1795602826,39.0253300462,44.0013,101.0638,60.6622,3144
2700,5.78386120975,31.9646901165,39.4073704405,42.5641,99.5472,62.2942,6749
4500,5.3382484644,28.1405657417,41.1385322172,38.2731,95.1706,53.4329,5066
6300,5.64175773353,36.8012372613,39.1340534616,46.8582,104.1589,64.9822,8039
1800,5.89110750373,30.8470092749,39.6182489979,41.6066,99.0318,62.5289,3144
3600,5.84461275824,30.5573431051,39.3752438052,41.4543,98.6295,61.512,6749
5400,5.72805919605,31.6013296937,39.8081560244,42.0319,99.2794,60.1271,5066
7200,5.308530224,30.870935793,41.2743895698,40.4314,97.4221,56.6231,8039
900,4.91840082742,30.9351000559,40.0966175263,40.7783,98.4471,52.1253,6913
900,5.73067369634,33.7854498936,38.4006648084,45.5602,102.9042,62.3742,7753
2700,5.84333457699,32.9492914793,38.52940875,43.9577,101.8008,63.3138,3144
6300,5.76174722861,36.4363886385,39.0828458996,46.2605,103.5069,67.6684,5066
4500,5.85004939733,32.4313335804,40.009362344,42.7209,99.8504,63.488,6749
8100,8.87401256064,44.3933237976,36.6375288965,56.2451,113.5701,112.0996,8039
1800,6.07059019515,34.6904402412,38.0949385181,45.7391,103.0855,68.8524,7753
3600,5.93783495885,31.8413370359,39.2706109854,42.7457,100.2196,63.3307,3144
7200,5.74867325744,32.9328481551,39.5068661387,43.0771,100.3624,62.648,5066
5400,5.80035299917,31.5368838732,39.4400238142,42.2565,99.4155,59.6747,6749
900,5.32145328067,29.854826225,40.0097791728,40.7697,98.2131,54.6729,2487
2700,5.9549591332,31.0661425556,39.2793671359,42.2012,99.3984,63.2,7753
4500,5.94102309388,31.6048716633,39.3530506654,42.3903,99.9874,62.44,3144
6300,5.96717247349,37.9879146092,38.5949528101,48.1276,105.4457,71.8809,6749
9000,10.1462288077,52.814377615,33.8722391934,66.6769,123.8222,143.6116,8039
1800,5.561051447,30.5004082703,39.6786482389,41.4118,98.762,58.32,2487
8100,9.1307973046,42.0870665862,35.8200614202,55.0173,112.3841,115.1538,5066
3600,5.86081728688,31.9158515568,39.2505936221,42.4421,99.7787,63.1493,7753
5400,5.45607650979,31.5639355234,39.5881037861,42.2797,99.3174,56.9067,3144
7200,5.62148055728,30.4787548659,40.6610588862,40.1061,97.6726,58.664,6749
2700,5.63190540647,29.4613193678,40.4269866657,39.4884,96.9967,58.8018,2487
4500,5.69214398511,28.05437888,41.0471449153,38.6701,95.6623,57.1636,7753
9900,11.7682612444,58.832761586,32.4548798217,75.0126,132.1702,181.4791,8039
6300,5.46262039114,35.7654786991,39.5698467782,45.4773,103.1437,61.1244,3144
9000,10.6361044866,54.2394115143,33.5220858987,68.0935,125.3839,145.4133,5066
3600,5.7147937343,31.9506460443,39.0945750085,42.3599,99.7365,62.0142,2487
8100,8.89087576154,43.1270312279,35.99665797,55.7238,112.98,109.5876,6749
5400,5.58610356914,30.2890024105,39.8916636858,40.9082,97.9439,58.0142,7753
7200,5.79133238118,31.3707726331,40.5517572692,40.7433,97.6748,63.544,3144
4500,5.691359225,30.2291227652,39.8992069028,40.7526,97.8847,58.1787,2487
10800,12.328191432,65.5294312487,31.9689631822,81.8831,139.2794,199.6018,8039
9900,10.2728412265,49.7304374379,34.2161873812,63.48,120.7565,138.3822,5066
6300,5.98692696373,36.52456092,38.5598021407,46.8084,104.1803,69.5156,7753
9000,10.0468840372,45.8947182466,35.0560715465,59.0861,116.3224,134.4151,6749
5400,5.45431794878,29.2530203367,40.769381613,39.1106,96.3025,55.0987,2487
8100,8.69752198701,41.8507310426,36.2895992958,54.0752,111.3325,105.5947,3144
1800,5.9275338777,32.026352957,38.9720480786,42.8055,100.2993,63.808,6913
7200,5.60717926956,29.3465445548,41.2843741248,38.9139,96.2465,58.3547,7753
11700,8.47625111868,68.4147282512,35.817932676,81.814,139.0483,131.128,8039
10800,10.5111707596,53.887373839,34.0993759151,67.9019,125.1966,155.4044,5066
6300,5.68277621649,37.4995302899,38.9416226529,47.2694,104.1563,67.4178,2487
9900,10.6289683644,53.6707008994,34.6562167216,67.7116,124.9761,164.1707,6749
9000,9.71706949633,45.6331793125,35.7520929556,58.427,115.7245,128.0836,3144
12600,6.72972287524,53.5507147703,38.3700736847,63.755,121.0006,88.5236,8039
11700,7.29697564433,44.7011166077,36.5809888854,57.2429,114.4868,90.8907,5066
8100,8.8910417916,40.7895031118,36.5858211521,53.2202,110.2258,109.5289,7753
7200,5.60650125268,33.4813724923,39.3732561526,43.7741,101.0363,61.5671,2487
10800,10.5891646742,60.4876499745,34.5019791259,74.0596,131.3351,158.448,6749
13500,6.19821343971,35.6839891042,39.2824541134,45.593,103.0411,67.8996,8039
12600,5.69534310428,32.4004064357,40.1306324611,42.411,99.3705,61.2356,5066
9900,9.71518516995,48.5850902181,34.7759497315,61.8696,119.2886,131.0302,3144
8100,9.26527009224,45.6438386669,35.3316841044,58.4699,115.5098,117.7573,2487
9000,10.1618728945,47.4411991024,34.9450461002,60.3486,117.7019,135.7218,7753
11700,7.63994569197,57.5162908987,37.0603972995,68.9627,126.0675,104.8978,6749
13500,6.36266971203,34.1749585486,39.3795612112,43.9665,101.5009,68.8036,5066
14400,6.14496454503,34.4830867713,39.6086815692,44.6265,101.7538,67.6942,8039
10800,10.0273548077,45.1950955515,35.5155702038,57.8757,114.9097,136.0391,3144
9000,10.0644813005,46.4296092375,34.7832155999,59.5863,116.6891,134.4133,2487
9900,10.8045807331,53.7196597941,34.1542907579,67.7003,124.9446,165.3431,7753
12600,6.44093692826,39.8430202751,39.2047075305,49.8328,107.1062,78.6178,6749
14400,6.09302336236,33.7439829898,39.6216712304,43.9203,101.2347,66.4009,5066
11700,7.08254657507,44.1230854239,36.7595536574,55.8518,113.3483,87.0302,3144
13500,6.1902757771,36.994251169,38.7397851213,47.2395,104.9531,69.6862,6749
900,4.97138240941,30.4358888324,40.0861814141,40.559,98.1197,51.7093,4292
2700,5.52506863685,31.0155575503,39.5094150356,41.9194,99.0987,58.7547,6913
9900,10.1412463171,45.744224767,35.1456576885,58.8886,116.1053,138.1982,2487
10800,10.8258064544,58.4431858589,33.4708771925,73.8238,131.0493,157.7173,7753
12600,6.04372906419,32.3296487961,40.7964654016,41.8571,98.7057,63.032,3144
14400,5.97600224277,34.3557636637,39.4971557155,44.136,101.4719,67.3449,6749
3600,5.87072767454,32.2547054206,38.9661664583,43.1113,100.5238,62.1156,6913
1800,5.61981679505,29.936651165,39.9730485694,40.2792,98.1303,58.4133,4292
11700,7.17244945951,44.0118183328,36.2687108222,56.5188,113.8653,88.768,7753
13500,5.75511866087,33.2006795261,39.50207369,43.0319,100.4955,61.6053,3144
10800,11.8479881603,61.3132233656,32.5372734665,76.866,134.0574,187.5716,2487
4500,5.60291386885,30.8441848414,39.8759728606,41.5838,98.9093,58.2222,6913
2700,5.50277625477,29.5377591435,40.6438521674,39.4804,96.789,55.944,4292
900,5.08909789725,28.5261881212,40.7064933922,38.4849,96.0832,52.0471,4506
12600,5.99605167093,32.8577696592,39.9498410991,42.7945,99.7739,63.7982,7753
14400,6.0101364542,32.4541439272,40.4662104735,41.809,99.3657,65.1076,3144
11700,8.52672099636,59.9991427733,34.8916949577,74.2648,131.9408,123.7804,2487
5400,5.69266643718,30.9426781548,39.6557517532,41.5493,99.0463,59.6391,6913
3600,5.91746416691,33.3315136272,38.0588233489,44.3774,102.2594,65.9724,4292
1800,5.48537678057,31.7405913772,39.373782354,42.5,99.9944,58.3724,4506
13500,5.83590115792,32.6919573535,40.1614341313,42.4821,99.9438,61.6276,7753
12600,6.1680180456,37.6568222205,39.0839649677,47.7349,105.0543,69.8489,2487
900,5.36519495104,31.8822057322,39.461396013,42.12,99.3931,57.2356,5702
6300,5.6575933265,34.2031690964,40.2373499399,43.2495,100.6838,63.512,6913
4500,5.71789161096,32.1630134318,39.3845629011,42.5058,99.8147,60.2676,4292
2700,5.96115402543,33.1628432289,38.3870122657,44.8572,102.5536,63.3849,4506
14400,6.28897495843,32.3921048734,39.6971602658,42.7341,99.8421,67.5982,7753
13500,6.26636386905,34.428976236,39.0901433183,44.7104,102.1364,70.6471,2487
1800,5.65486191912,30.0687748958,40.1058166479,40.7624,97.9326,58.3973,5702
7200,5.89433062518,32.7873102576,39.7255332467,42.9507,99.9575,64.3333,6913
5400,5.72597106211,31.3318371588,39.6633909194,42.0792,99.1531,59.288,4292
3600,5.68100679794,30.6174523949,39.5608775097,41.1746,99.0625,59.6436,4506
900,5.03192670397,29.4163215692,40.3867748325,40.0709,97.2099,51.4987,5235
2700,5.71103605364,32.3675208864,38.7497908474,43.5957,101.1502,61.7093,5702
14400,6.22728197621,35.0233433296,39.9131674384,44.7646,101.8322,69.1591,2487
8100,9.28364542397,45.5122198527,35.9076730943,57.8912,115.0594,122.2071,6913
4500,5.36642630309,29.2920454657,40.1354331365,39.5881,97.3057,53.3236,4506
6300,5.86190436438,37.0110519196,38.9583371848,46.9576,103.8514,69.2284,4292
1800,5.34833804541,29.4345811616,40.4746306769,39.1462,96.5111,55.2053,5235
900,5.45090486945,31.592213832,39.690797197,41.7916,98.9417,59.5547,8531
3600,5.98196222565,31.1061541863,39.4835771026,41.9812,99.5784,63.1858,5702
5400,5.27429446154,30.5895483339,40.2658754354,40.8809,98.1376,53.6053,4506
2700,5.72578167023,30.2554695461,39.6206688711,41.4382,98.9724,59.5556,5235
7200,5.79610895043,32.117255295,39.9991916547,42.0076,99.3613,62.9467,4292
9000,10.3633866454,52.7721230219,33.1730228077,67.3247,124.8626,145.9644,6913
1800,5.92895019233,31.4710939074,39.0958688352,42.6016,99.9607,62.696,8531
4500,5.29556269789,29.7615477752,40.5320521212,39.9324,97.4987,52.424,5702
6300,5.71253623024,34.6262112673,39.5641034247,44.5755,101.931,64.4338,4506
900,5.05895140769,31.3817758007,39.9027410586,41.558,98.7025,53.1653,1348
3600,6.12701106412,33.0455071107,38.4701900908,44.2642,101.9731,68.0044,5235
2700,5.7441858572,31.4903879245,39.4433905606,42.0161,99.1475,61.0631,8531
8100,9.21293200393,43.3558336209,36.964025234,55.5663,112.3931,115.9422,4292
5400,5.16913250627,29.4216098192,40.7938956394,39.6602,96.7644,52.68,5702
9900,9.77812244202,49.4124119518,34.4183921445,63.1122,119.6661,148.2613,6913
7200,5.65577987664,30.2236430941,40.6906923414,39.8075,97.6195,59.9911,4506
1800,5.7998616153,32.3369456832,38.9784152829,42.8522,100.2166,63.5031,1348
4500,5.74610983828,30.816419832,39.8079574373,41.4946,98.561,59.5493,5235
3600,5.7800947415,31.954688004,38.9171410697,43.4966,101.1586,61.8276,8531
6300,5.49516975908,34.6506776826,39.7226012476,44.4907,101.8791,62.9538,5702
2700,5.62183191798,31.6336918521,39.2215274342,42.3813,99.7532,58.68,1348
9000,12.0829489773,63.0440766906,33.061595186,77.5785,134.9371,193.6071,4292
5400,5.69842833186,32.2159390629,39.4361390785,42.801,100.405,60.0844,5235
10800,11.734165006,58.3442504094,35.0221350503,72.1192,127.4228,230.5333,6913
8100,8.4710305855,41.7895198751,36.4324330762,54.1843,111.3837,102.0071,4506
4500,5.54761721831,30.9424340975,39.8760241625,41.4586,98.748,57.2116,8531
7200,5.54107115061,32.0570900794,40.0641315363,41.9177,99.2286,60.1004,5702
3600,6.0580806262,33.8060968841,38.1432473657,45.6124,103.0417,66.7084,1348
6300,5.86928953108,35.578279651,39.8387185619,45.225,102.2354,68.712,5235
5400,5.37877950952,30.0233718528,40.5236606664,40.228,97.1733,55.1396,8531
11700,10.5062607461,87.9302959382,33.8141203607,102.5763,158.183,230.6631,6913
9000,10.32430632,48.9040368826,35.0679921797,62.0868,118.3813,166.9804,4506
9900,11.8267964962,67.9218688387,32.1357353877,83.0665,140.1933,185.9342,4292
8100,8.72311253072,43.4954909366,36.2128289737,55.8413,112.7891,107.0027,5702
4500,5.57801371325,30.3556238753,40.4830991633,40.7592,97.9716,56.6196,1348
7200,5.60519553819,33.5344096759,39.6326189184,43.4552,100.7855,61.9298,5235
6300,5.87589220646,34.0385949793,39.6263604665,43.8345,101.3832,65.368,8531
12600,10.1013189989,75.1309226645,36.3358728328,87.8912,142.9969,225.816,6913
9900,11.1074452059,49.2005290837,36.3202604125,62.2122,117.2586,217.1902,4506
5400,5.77928869426,31.4928591749,39.8293363286,41.8674,99.0659,62.4027,1348
