time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
900,1.35481089546,15.1018276141,48.1260109104,22.0217,79.811,8.8124,1883
1800,1.58865211668,17.3863609015,46.7600387828,24.5694,82.3728,11.6373,1883
2700,1.9054034379,19.1180368066,45.7579611316,26.9007,85.4026,13.7724,1883
3600,2.181226245,26.2375555287,42.7367837696,34.6193,92.7374,20.6569,1883
4500,2.71645171685,27.9466991936,41.7906491289,37.256,94.1548,27.1227,1883
5400,2.93349590181,24.75246403,43.3259619,32.7625,90.2098,27.7138,1883
900,1.412775209,16.8852885964,47.1239004493,23.9523,82.1341,10.0551,9625
1800,1.52443922303,18.4064452913,46.4961032256,25.4113,83.2363,11.1387,9625
2700,1.95105316446,19.0740467706,46.1829984407,26.9191,84.646,14.376,9625
3600,2.07197219739,25.2664876788,43.6407985721,33.2245,91.0419,19.1022,9625
4500,2.85039096877,26.4353888465,42.5837252136,35.365,92.8549,27.5476,9625
5400,2.73427955789,24.8134755891,43.0063715416,33.2011,91.2578,25.096,9625
900,1.3337194276,17.0734636349,46.8391091103,24.3071,81.9597,9.4809,6189
6300,3.88609311444,34.6044632991,41.3838215657,43.2761,100.4653,44.0836,9625
900,1.41635944039,14.1197653319,48.7461906836,20.9111,78.7253,9.0276,7161
1800,1.49282481723,19.2492181642,46.4907472624,27.1726,84.1593,11.2009,6189
1800,1.64432133188,20.2551194734,45.2898369524,28.0951,85.6123,13.4071,7161
2700,1.97068024689,20.0748139865,45.4736937911,28.0217,85.9183,15.4898,6189
7200,4.01942853938,35.9630536974,39.7797808381,45.4967,102.3242,47.3751,9625
2700,1.97090775502,21.8271905522,44.3540862921,30.2759,87.5591,16.2747,7161
3600,1.94530217189,24.9601983854,43.654209346,32.7083,90.6173,18.0844,6189
3600,1.99525644225,25.7987567944,43.8194247345,33.5707,91.1388,18.6436,7161
4500,2.7853922592,26.7143404679,42.4560692087,35.5171,92.7372,27.064,6189
8100,6.67144190506,40.7216271037,36.8330593171,52.0784,110.276,82.6693,9625
4500,2.97073218016,26.540126399,42.8978800085,35.2744,92.155,28.6791,7161
