time,delay_time
300,30.72
600,41.14
900,41.27
1200,33.74
1500,36.44
1800,34.9
2100,35.21
2400,37.2
2700,38.6
3000,37.67
3300,37.69
3600,36.04
3900,36.2
4200,33.13
4500,35.34
4800,32.98
5100,34.83
5400,33.88
5700,41.92
6000,42.72
6300,39.16
6600,43.22
6900,44.73
7200,43.94
7500,41.87
7800,41.19
8100,42.15
8400,46.19
8700,43.78
9000,41.2
9300,43.65
9600,44.23
9900,42.71
10200,44.85
10500,45.3
10800,44.25
11100,41.09
11400,46.35
11700,42.71
12000,39.98
12300,41.34
12600,44.29
12900,43.37
13200,48.54
13500,46.09
13800,46.15
14100,46.12
14400,44.26
