time,delay_time
300,38.32
600,43.43
900,39.17
1200,42.03
1500,46.72
1800,43.09
2100,44.54
2400,41.86
2700,46.79
3000,43.54
3300,38.25
3600,40.82
3900,41.53
4200,40.17
4500,41.53
4800,42.34
5100,38.85
5400,38.41
5700,51.84
6000,46.3
6300,41.43
6600,45.28
6900,43.05
7200,36.43
7500,41.55
7800,48.88
8100,41.9
8400,41.27
8700,43.84
9000,45.73
9300,46.6
9600,46.57
9900,47.87
10200,45.36
10500,46.22
10800,47.42
11100,44.89
11400,38.8
11700,40.11
12000,39.56
12300,41.73
12600,46.3
12900,46.46
13200,45.34
13500,38.95
13800,41.67
14100,47.06
14400,41.88
