time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,,,,,
900,1.44581130705,16.7553145825,47.3639009404,23.8897,81.6837,10.2018,1994,,,,,
1800,1.39066056516,18.2171002701,46.562498221,25.5665,83.0026,10.0533,1994,,,,,
2700,1.85618287367,19.3858171007,46.1770431001,26.9817,84.4697,13.8649,1994,,,,,
3600,2.09598076405,22.5156505149,45.4453561819,29.7808,87.813,18.0702,1994,,,,,
4500,2.65692162866,23.7221289192,44.1705512474,31.5207,89.1155,23.7493,1994,,,,,
5400,2.72224810476,23.1535948992,43.6183070869,31.3811,89.3165,23.6907,1994,,,,,
6300,3.76859396181,29.0356250557,42.5804257534,37.5098,94.165,38.392,1994,,,,,
7200,3.80796354949,30.0691170239,42.401121751,38.2919,95.3744,39.6276,1994,,,,,
8100,6.81354273898,40.276131245,37.5414061681,50.8793,109.2273,84.704,1994,,,,,
9000,8.12044153445,45.0839767729,35.4912846795,57.4857,116.0915,108.5484,1994,,,,,
9900,9.8264937249,50.9119748322,34.54755104,64.6831,122.9578,137.2693,1994,,,,,
10800,10.153173674,54.3549950447,33.3024458795,68.6239,126.6621,139.4924,1994,,,,,
11700,10.1756798499,56.8936751938,33.5707214978,72.1892,130.587,147.0898,1994,,,,,
900,1.36146637977,16.5243116835,47.3937300106,23.5419,81.9418,9.4889,2939,,,,,
12600,10.1214227692,55.4836574617,34.0264718052,69.9683,128.2058,151.0453,1994,,,,,
1800,1.44218341409,16.7499167388,47.291733178,23.7734,81.7555,9.9644,2939,,,,,
2700,1.80015665368,17.9177595976,46.4284084078,25.2738,83.7144,13.5351,2939,,,,,
13500,10.6068685899,63.987133837,32.9434304543,79.2398,137.6987,167.1467,1994,,,,,
3600,1.89301841789,20.9031888597,46.3383584865,27.9403,85.5519,14.992,2939,,,,,
4500,2.77518917818,23.6542597186,44.1665375484,31.7565,89.085,25.0702,2939,,,,,
14400,9.57198101729,55.4987788612,34.0271188084,69.2543,127.8888,140.1787,1994,,,,,
5400,2.54736405697,22.0112968585,45.2701412359,29.61,86.7254,20.7067,2939,,,,,
6300,3.44322638201,29.7626842498,42.932208651,37.5515,94.1817,36.1298,2939,,,,,
15300,7.43561473174,42.8051339852,36.6166078227,55.7551,113.5432,92.8213,1994,,,,,
7200,3.63406737759,29.8615762118,42.3658709574,37.9388,95.1596,36.6809,2939,,,,,
16200,7.01715124584,34.3706059373,38.5425309068,46.7732,104.2975,79.4542,1994,,,,,
8100,6.95009774581,39.5155314613,37.6424969791,50.5661,108.9972,86.2622,2939,,,,,
17100,6.09541563634,29.4522323499,39.8051280771,40.5228,98.4968,62.5164,1994,,,,,
9000,7.63194030504,41.5714473064,36.5416802282,52.9177,111.2531,97.0391,2939,,,,,
18000,5.70781274385,28.1648439838,40.6451547102,39.0981,96.5233,56.656,1994,,,,,
9900,9.48908296333,45.9307946339,35.7593100996,58.279,116.596,124.1253,2939,,,,,
18900,5.1781132792,25.9640495831,41.8902390656,35.9112,93.7301,47.7076,1994,,,,,
19800,5.02147295149,26.5790994184,41.6857627824,36.8547,94.4338,46.9547,1994,,,,,
10800,9.93067618117,51.1792532076,34.0775843887,64.9288,123.0338,135.1671,2939,,,,,
20700,5.37833977562,29.2526527271,40.7905770353,39.29,96.8973,53.8782,1994,,,,,
11700,9.21122529011,46.7660266745,34.877986678,60.8256,118.9798,120.9867,2939,,,,,
21600,4.94315134356,26.9207292224,41.5949052821,36.7532,94.4729,46.8089,1994,,,,,
12600,9.2756391386,48.4786289257,34.328882778,62.5841,121.2219,127.2853,2939,,,,,
900,1.35501120921,17.2180179821,47.1161567868,24.7665,82.1745,10.0169,1182,,,,,
13500,9.25295057734,47.7460435223,35.5777439485,60.5192,118.7308,125.9813,2939,,,,,
1800,1.46927252596,16.4573554815,47.4067885538,23.4053,80.6109,9.7556,1182,,,,,
2700,1.96391157494,21.112634553,44.3933828366,29.6042,88.1423,16.3511,1182,,,,,
14400,9.99436667736,54.7875676239,33.3402013548,70.6105,128.7807,147.1369,2939,,,,,
3600,1.86077079734,22.357463498,45.4605788398,29.8208,86.9591,15.6089,1182,,,,,
4500,2.53128237612,20.9785465365,45.6020498352,28.6388,86.1267,20.8933,1182,,,,,
15300,7.76668593095,45.0289441197,35.9380483786,59.1633,117.093,94.952,2939,,,,,
5400,2.8633661081,23.9955879186,44.3323170458,31.9737,89.0352,25.8569,1182,,,,,
16200,7.17106638733,35.4106730716,37.9928742644,48.2587,106.1352,85.3209,2939,,,,,
6300,3.85078201926,31.4496233068,41.7388561397,39.6999,96.8633,40.8391,1182,,,,,
7200,3.84704676519,28.1678667836,43.2168902665,36.1303,92.9563,39.4773,1182,,,,,
17100,6.41923389441,31.3990375082,39.2129281022,43.1522,101.0197,66.728,2939,,,,,
8100,7.00745485583,39.8001317574,37.0678882894,51.2474,109.458,85.8409,1182,,,,,
18000,5.99401084235,28.0139213176,40.762183738,38.6494,96.4177,60.2844,2939,,,,,
9000,6.96640206825,38.106143995,37.6800245857,48.7376,106.8991,83.6107,1182,,,,,
18900,5.01067713095,28.6914391067,41.2383993429,38.9363,96.5422,48.8418,2939,,,,,
19800,4.9791809547,26.7401130698,41.8174029534,36.5564,94.3006,47.5493,2939,,,,,
9900,9.45370434693,45.1955497977,35.6863577531,58.0392,116.4319,122.6107,1182,,,,,
