time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
900,5.09608866004,27.1065554506,41.8836631435,34.3228572,87.6888976,46.555264,9205
1800,6.2195860082,38.3742918674,38.7001477911,46.3597304,99.7220428,69.0996916,9205
2700,5.46742869129,30.0285710116,40.4297899325,38.096432,91.6497112,50.9849668,9205
3600,5.42103123103,26.5428781959,41.671862358,34.22304,87.7562812,47.114464,9205
4500,5.20825356816,25.6248444039,42.2728227881,32.6896204,86.081384,44.4277876,9205
5400,5.17914137798,24.4030091182,43.266437767,31.1080164,84.3579296,43.5032436,9205
6300,6.01874865566,33.9384236301,39.7093136443,41.0752904,94.0648028,64.7677556,9205
7200,6.01751252825,39.9736559829,38.2766636949,46.59767,100.3674528,68.2008708,9205
8100,6.17273998027,33.9994332089,39.7121091446,41.0710964,94.4915656,62.9716984,9205
9000,6.43574827332,36.6915276335,38.2948462489,44.6550092,97.8750984,70.4492276,9205
9900,8.9433726339,80.043416866,33.635222729,85.7563024,138.2721724,164.278048,9205
10800,8.26158533336,91.1020503763,31.6411299924,103.8880828,157.6519008,111.7000136,9205
11700,6.61088368203,41.0548465526,36.7721827593,49.4471668,102.96969,72.4764208,9205
12600,6.23372299122,32.4728443497,40.4709179728,39.2918152,92.444148,63.4166352,9205
13500,6.1987364977,32.8238846071,39.99861432,39.5318052,93.0605728,62.5964752,9205
14400,5.96702854701,35.4865433824,39.1393755036,42.4669528,96.0706532,60.0472688,9205
900,5.02014480356,26.9171535429,41.5583641175,34.6308832,88.2210696,45.5404092,9640
1800,5.95067132117,35.1426311111,38.7697296624,43.0413444,96.5722556,62.1879796,9640
900,4.84021233426,27.2361246754,41.9508207586,34.7116876,88.3268516,44.1734448,7170
2700,5.56312302296,29.8933630085,40.6340626812,37.418868,91.127232,54.7080272,9640
1800,5.81159555904,37.9030075735,38.5167001078,45.3462736,99.2459772,65.8712436,7170
900,4.95898822172,25.8471887703,42.0913793036,33.3886204,86.9506604,43.446112,5733
3600,5.67138393145,28.4002630598,40.6287421992,36.4888252,90.0467644,52.766112,9640
900,5.03838644687,28.5790912756,41.4266233182,35.6677332,89.1217544,46.942976,3695
2700,5.84477892377,31.4364362677,39.6183449638,40.2700424,93.8580852,55.4834512,7170
1800,5.76774806017,36.3576940853,39.0806486967,44.0087604,97.7592508,61.5526352,5733
4500,5.16330002526,26.2800471219,42.8995183136,33.089262,86.6507428,44.7550128,9640
1800,5.57474972328,27.2447431877,41.0639266363,35.2324892,89.0020856,50.2128048,3695
900,5.25726683204,26.2724992016,41.6565802841,34.148014,87.708656,46.6306628,5248
3600,5.7456541179,27.8916937396,41.1905448454,35.7924348,89.2106672,51.1530996,7170
2700,5.59156373165,28.7550438732,40.8425021597,36.353592,90.0860016,51.8945988,5733
5400,5.07745650294,24.4547642912,43.4963493909,31.112956,84.426152,42.2448572,9640
900,5.24462648446,26.7241744882,41.318592535,34.517552,88.0742796,47.1774672,4286
2700,5.74335306676,26.7770922982,41.2514704392,34.8803796,88.6852988,51.0702448,3695
1800,5.5727845436,30.6310283404,39.9515859038,38.8664504,92.2783452,54.592832,5248
4500,5.56703430173,26.3424371282,42.3577766086,33.3065112,86.7756308,49.6810056,7170
3600,5.92466891681,29.9477159949,40.1259216097,38.1329664,92.0464636,56.7376436,5733
6300,5.37616614512,31.9486505894,40.3977230508,38.4851692,91.7882064,54.5977716,9640
3600,5.69811041821,28.4467266454,40.6994488394,36.2329912,89.4410576,52.8373168,3695
2700,5.59031703749,31.7576055913,40.40677628,39.5807352,92.9924436,54.0526448,5248
1800,6.11528211054,38.4405911064,38.5488174483,46.187124,99.5471064,69.5172276,4286
5400,5.13887594103,25.9797971081,43.0903140115,32.469482,85.7480076,44.3830516,7170
4500,5.24503459979,26.4109659201,42.3938750778,33.6103432,87.0474952,44.8768252,5733
7200,5.81145114705,34.7403481983,39.3344495758,41.736358,94.920938,60.0307724,9640
2700,5.10352013205,27.6910806258,41.0384946779,35.77948,89.664458,44.4716848,4286
