time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
900,5.09608866004,27.1065554506,41.8836631435,36.8271,94.0868,49.952,9205
1800,6.2195860082,38.3742918674,38.7001477911,49.7422,106.9979,74.1413,9205
2700,5.46742869129,30.0285710116,40.4297899325,40.876,98.3366,54.7049,9205
3600,5.42103123103,26.5428781959,41.671862358,36.72,94.1591,50.552,9205
4500,5.20825356816,25.6248444039,42.2728227881,35.0747,92.362,47.6693,9205
5400,5.17914137798,24.4030091182,43.266437767,33.3777,90.5128,46.6773,9205
6300,6.01874865566,33.9384236301,39.7093136443,44.0722,100.9279,69.4933,9205
7200,6.01751252825,39.9736559829,38.2766636949,49.9975,107.6904,73.1769,9205
8100,6.17273998027,33.9994332089,39.7121091446,44.0677,101.3858,67.5662,9205
9000,6.43574827332,36.6915276335,38.2948462489,47.9131,105.0162,75.5893,9205
9900,8.9433726339,80.043416866,33.635222729,92.0132,148.3607,176.264,9205
10800,8.26158533336,91.1020503763,31.6411299924,111.4679,169.1544,119.8498,9205
11700,6.61088368203,41.0548465526,36.7721827593,53.0549,110.4825,77.7644,9205
12600,6.23372299122,32.4728443497,40.4709179728,42.1586,99.189,68.0436,9205
13500,6.1987364977,32.8238846071,39.99861432,42.4161,99.8504,67.1636,9205
14400,5.96702854701,35.4865433824,39.1393755036,45.5654,103.0801,64.4284,9205
900,5.02014480356,26.9171535429,41.5583641175,37.1576,94.6578,48.8631,9640
1800,5.95067132117,35.1426311111,38.7697296624,46.1817,103.6183,66.7253,9640
900,4.84021233426,27.2361246754,41.9508207586,37.2443,94.7713,47.3964,7170
2700,5.56312302296,29.8933630085,40.6340626812,40.149,97.776,58.6996,9640
1800,5.81159555904,37.9030075735,38.5167001078,48.6548,106.4871,70.6773,7170
900,4.95898822172,25.8471887703,42.0913793036,35.8247,93.2947,46.616,5733
3600,5.67138393145,28.4002630598,40.6287421992,39.1511,96.6167,56.616,9640
900,5.03838644687,28.5790912756,41.4266233182,38.2701,95.6242,50.368,3695
2700,5.84477892377,31.4364362677,39.6183449638,43.2082,100.7061,59.5316,7170
1800,5.76774806017,36.3576940853,39.0806486967,47.2197,104.8919,66.0436,5733
4500,5.16330002526,26.2800471219,42.8995183136,35.5035,92.9729,48.0204,9640
1800,5.57474972328,27.2447431877,41.0639266363,37.8031,95.4958,53.8764,3695
900,5.25726683204,26.2724992016,41.6565802841,36.6395,94.108,50.0329,5248
