time,density,speed,stop_time,delay_time,travel_time,mean_queue,seed
900,4.92381977722,25.4410276422,42.8715177479,34.8167,92.196,46.7013,1865
1800,5.09431437567,27.3852763388,41.8391940562,37.354,94.798,47.7947,1865
2700,5.6141072112,28.8576950595,40.9667887029,39.3469,96.6623,55.4631,1865
3600,5.44203473574,27.3713118789,41.212183353,37.4781,94.8287,52.968,1865
4500,5.01961340544,23.8734064515,43.5634442649,33.1124,90.2774,45.0267,1865
5400,5.35382969012,26.2864096905,42.3928038336,35.6328,92.9372,49.528,1865
6300,5.81541514221,31.8698175193,40.5165578752,41.433,98.6901,63.3822,1865
7200,5.75915665723,31.4134201154,40.2428962941,40.9333,98.3638,60.2036,1865
8100,6.31716127899,37.3550129253,38.0778605855,48.8467,105.5654,81.8818,1865
9000,8.45515828475,66.7275372868,36.3632266182,78.787,135.1929,160.5129,1865
9900,7.97442576418,96.4469010948,33.8988785874,112.6652,169.8714,122.824,1865
10800,7.52644005367,51.1844012658,33.7046680816,73.2638,131.1335,88.0916,1865
11700,5.99120451017,35.032024919,39.4430078395,44.878,102.1815,64.5831,1865
12600,5.65089426418,32.8280662215,40.0109628663,42.5145,99.6865,61.9147,1865
13500,5.87449494802,33.6877082595,40.1968399432,42.8944,100.4854,64.0578,1865
14400,5.69123906714,35.14084968,39.2284594209,45.2115,102.5213,62.0809,1865
900.0,5.19883573326,26.3421582028,42.2983529028,36.3864,93.2859,49.1813,8375.0000
1800.0,5.58141570877,27.5797136696,40.8981041934,37.9258,95.4710,53.8578,8375.0000
900.0,5.03056899694,27.3154690849,41.4080084892,37.4626,95.0282,48.6791,6885.0000
2700.0,5.36494524246,27.0694298051,41.5326627685,36.9458,94.6080,52.1084,8375.0000
1800.0,5.55281357347,27.8274761471,41.1042162646,38.3711,95.9977,53.9831,6885.0000
900.0,5.14665510411,27.2490048503,41.3357506989,37.8416,95.2106,49.9058,1179.0000
3600.0,5.64186715442,29.7916578469,40.3008164162,40.2322,97.5429,57.8551,8375.0000
2700.0,5.61555660038,28.0953706116,41.1797945259,38.2869,95.7766,55.4587,6885.0000
1800.0,5.36070019757,27.3646988731,41.544034,37.1220,94.7108,51.5822,1179.0000
900.0,5.16118425926,26.5230685331,42.0300820304,36.6249,94.0132,49.2818,5752.0000
3600.0,5.47653992469,26.7526988494,41.4649051759,36.9208,94.3719,52.7129,6885.0000
2700.0,5.32604391988,27.1576879394,41.3355515231,37.4561,94.7176,51.8187,1179.0000
4500.0,5.25942150157,25.0291797456,42.9587298297,34.4311,91.9628,46.7956,8375.0000
1800.0,5.66436232316,29.3489187628,40.374282495,39.9269,97.6332,56.0933,5752.0000
900.0,4.85982692155,26.8231552707,41.8343990258,36.9696,94.4063,46.9636,2994.0000
4500.0,5.25439309798,25.4899134566,43.0260933326,34.5814,91.5839,48.3378,6885.0000
3600.0,5.37309229538,27.1358976312,41.3396395768,37.3873,94.8638,51.7040,1179.0000
5400.0,5.46263289214,26.5055539838,42.6566780307,35.6559,92.8393,51.6996,8375.0000
2700.0,5.58687658992,29.4122159067,40.6377433164,40.1189,97.9705,54.9769,5752.0000
1800.0,5.17694321005,28.0106235494,41.0869905034,37.9211,95.7761,50.2613,2994.0000
900.0,5.53102019739,28.6606015065,40.552372031,39.3509,96.9940,54.6107,4793.0000
5400.0,5.3836820977,23.9269825564,43.5286086325,32.7763,89.9957,48.2453,6885.0000
4500.0,5.153863315,24.9568100994,42.9403370311,34.2260,91.4058,47.3947,1179.0000
6300.0,5.68732634996,32.9666267075,39.9457378408,42.7715,99.9762,61.3004,8375.0000
2700.0,5.19647348763,26.5448656291,41.7738793096,36.5886,94.0483,49.7591,2994.0000
3600.0,5.56498781103,27.0231782022,41.3426273034,37.3989,94.9889,53.9947,5752.0000
1800.0,5.50614643975,26.680285511,41.9050137454,36.5385,93.5756,52.7067,4793.0000
6300.0,5.32237211569,30.7356191433,40.9824541704,39.9682,97.4039,57.1538,6885.0000
5400.0,5.2386161423,25.4751889975,42.9520706222,34.4925,91.7738,47.9636,1179.0000
900.0,5.08186079659,27.9568822054,41.7644442734,37.8525,94.7075,50.0249,5374.0000
7200.0,5.46515904279,29.7199572946,41.6524493149,38.7389,95.8530,55.6427,8375.0000
3600.0,5.15036496059,26.1222449352,41.6196970768,36.2876,93.6994,48.7244,2994.0000
4500.0,5.28363946101,26.0917077659,42.883048579,35.3795,92.2964,49.2640,5752.0000
2700.0,5.32515768109,28.6785553191,40.8440048724,38.6469,96.1187,53.4116,4793.0000
7200.0,5.33165209574,30.5158992902,40.6745342111,39.9449,97.5241,54.5671,6885.0000
6300.0,6.06014695736,32.4731284836,40.1292987549,42.0511,99.3062,68.5431,1179.0000
1800.0,5.60693219819,28.1955480801,41.4866731324,38.3435,95.9552,55.6098,5374.0000
4500.0,5.45550067217,27.2747415624,42.3468738058,36.5286,93.7658,50.4960,2994.0000
8100.0,5.9840678771,33.9142192635,39.0455881638,44.5068,101.8929,64.6907,8375.0000
3600.0,4.97658579508,26.6181478219,42.1213353292,36.3998,93.5938,46.9342,4793.0000
5400.0,5.42638926516,25.6998468024,42.8884061621,34.8952,92.2957,49.2276,5752.0000
8100.0,6.62596062587,34.8828323593,38.9577309926,45.8055,102.8517,85.4400,6885.0000
7200.0,5.68049603392,33.3930740026,40.0372167144,43.0256,100.3558,60.3182,1179.0000
2700.0,5.55136264831,28.3217879614,40.7046448366,38.9123,96.6750,53.7049,5374.0000
5400.0,5.14956847768,23.8369941487,43.2582942354,32.9045,90.3006,46.2862,2994.0000
9000.0,5.66693848932,31.1905393712,40.3055644281,41.7840,99.1836,58.0676,8375.0000
4500.0,5.32021082383,25.2769115274,42.6854447253,34.6627,92.1189,49.4036,4793.0000
6300.0,5.79957883704,34.400813949,40.6466342145,43.8743,101.0770,66.1236,5752.0000
8100.0,5.84236502425,32.0381349399,39.9284433882,42.2571,99.4370,62.0809,1179.0000
9000.0,7.40390491769,40.9922639937,36.7415559636,55.1470,112.2914,103.1662,6885.0000
3600.0,5.32474443022,26.1142921433,41.8480191558,36.1184,93.8033,50.2302,5374.0000
6300.0,5.70785361306,32.5074554482,40.7641077503,41.7181,98.8414,64.6942,2994.0000
5400.0,5.29479059322,26.5549137117,42.3816399089,35.7087,92.9640,50.7467,4793.0000
9900.0,7.24382272433,56.3787596126,36.6544066508,69.2400,126.2867,108.2338,8375.0000
7200.0,5.38155259923,32.5722955639,40.1924244322,42.3888,99.6151,57.0382,5752.0000
4500.0,5.357650032,27.0967492697,42.3128110912,36.3074,93.3409,50.8062,5374.0000
9900.0,6.88082882465,69.9662738063,35.8574246177,84.1513,141.6624,90.3733,6885.0000
9000.0,6.38779966216,34.9101062438,38.6020934997,45.8360,103.0811,70.4071,1179.0000
7200.0,5.2083318149,30.4747090424,41.5514521201,39.3927,96.6635,53.3182,2994.0000
6300.0,5.45120945207,32.72002629,40.3948423516,42.3191,99.4056,59.7422,4793.0000
5400.0,5.17499304157,26.7249038235,42.4684403177,35.9514,93.1879,49.3600,5374.0000
8100.0,5.6805485695,32.9446427873,39.6707635631,43.2715,100.5343,62.9627,5752.0000
10800.0,6.93455735957,44.3078180828,35.2426559708,61.2161,118.8880,77.3778,8375.0000
10800.0,5.61279121834,31.4426120509,40.3000715684,41.3617,98.3582,59.6124,6885.0000
9900.0,5.9648409152,33.9471992487,39.4840746165,44.3482,101.6943,65.8178,1179.0000
8100.0,6.08946632072,34.5569954559,39.2226218724,44.9474,102.0237,68.6258,2994.0000
7200.0,5.73857423757,33.0926254642,39.5161115877,43.3719,100.6016,61.1813,4793.0000
6300.0,5.71826185767,34.7508603903,39.537063564,44.6409,101.6483,64.3733,5374.0000
9000.0,5.7728604882,35.677217639,38.3731561659,46.4466,103.6689,64.0827,5752.0000
11700.0,5.95305217691,34.304361576,39.6255029734,43.9638,101.3217,64.3493,6885.0000
11700.0,5.80897378632,34.8438927754,39.4033080671,44.3516,101.7822,63.3778,8375.0000
10800.0,5.99953080006,35.6148920604,38.6039251101,46.0825,103.6838,65.8889,1179.0000
9000.0,5.92720335609,35.8241219717,38.3043701806,46.7012,104.0508,64.6782,2994.0000
8100.0,5.94295316499,34.7448799749,39.0003898971,45.1667,102.5447,65.0507,4793.0000
7200.0,5.8342840826,31.6070871724,40.3190110234,41.0788,98.3836,61.8640,5374.0000
9900.0,6.33204820902,35.2418549382,38.8206842657,45.8601,103.0739,76.8827,5752.0000
12600.0,6.12808336449,32.4405669532,40.0178991115,41.9966,99.3671,65.5716,6885.0000
