time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed
900,4.92985195337,31.9905528076,40.8854697167,41.0098,97.9792,52.9493,3307
1800,5.52413632402,32.0554815237,40.1401310877,41.7962,98.9361,59.4213,3307
900,4.85201043391,33.2307265676,40.0043711832,42.8878,100.1861,53.2996,6069
2700,5.50160519169,33.7729031438,39.8623378329,43.563,100.5459,59.408,3307
1800,5.46365091974,30.956568344,40.9652064174,40.2878,97.6396,57.7227,6069
3600,5.55252643691,31.9077304153,40.3433436424,41.6845,98.9224,59.4791,3307
2700,5.31529004475,33.6820910508,39.9116808039,43.4222,100.8337,56.8391,6069
4500,5.54908706576,32.2143178796,40.3124314133,41.6979,98.8768,58.2,3307
3600,5.70235278915,32.2452823084,40.2639940258,41.757,98.8944,62.8462,6069
5400,5.19688058489,32.047900186,40.3227604237,41.7869,98.9449,55.192,3307
4500,5.75181878774,33.6202733703,40.015604652,43.2814,100.3436,61.8329,6069
6300,5.51596101185,31.5468454566,40.8588895556,40.8545,98.3742,57.9324,3307
5400,5.50212097331,31.4271262924,40.4881819006,40.8293,98.2648,58.3289,6069
7200,5.40794106647,31.7290915565,40.6164485666,41.0088,98.4483,55.9324,3307
6300,5.34155900281,34.6670121014,39.2641936264,44.3711,101.8405,58.3449,6069
8100,6.60962773561,41.4971807221,37.0178079519,52.0201,109.7693,81.8676,3307
7200,5.39432295342,32.9479655489,40.3890180811,42.3842,99.2495,56.7671,6069
9000,6.57472854144,42.9829692124,36.4232551449,54.0091,112.2456,80.3707,3307
8100,6.39970468735,40.0063820514,38.0172356106,50.0248,108.013,77.4507,6069
9000,6.83812126732,40.8239148146,37.259535868,51.7978,109.5875,82.7351,6069
9900,6.920004921,42.2276053182,36.8253203298,53.0522,110.7602,85.6258,3307
9900,6.64720143338,39.6997633533,37.598398676,50.2911,108.0728,78.6853,6069
10800,6.48808196953,40.0966536469,37.6107296824,51.2172,108.7855,74.6338,3307
10800,6.18289890869,38.2315188703,38.1031994702,48.7161,106.9138,71.0418,6069
11700,7.81667404898,44.9187592242,36.3384075743,56.2078,114.1244,100.8329,3307
11700,7.54252773924,41.3117117856,36.9911012107,52.1317,110.0154,93.5493,6069
12600,6.97069333993,41.4912026545,36.8175615794,52.5893,110.4829,85.5956,3307
12600,7.18877816404,41.8437981824,36.6049247868,53.3974,111.1165,85.8196,6069
13500,7.25939901209,44.0327261419,36.1969191859,55.183,112.9788,89.3502,3307
13500,7.38620698961,42.8164228834,36.3504456636,53.9636,111.6672,92.3591,6069
14400,7.29498275899,43.723923721,36.3527306336,55.1946,113.1106,92.1556,3307
14400,7.44578228997,42.7122000714,36.64213403,53.9373,111.9465,92.2231,6069
15300,6.5552666183,41.9012252123,37.0657628568,52.875,110.6363,77.6293,3307
15300,6.88015796845,40.0867093976,37.8312906623,50.5083,108.1985,82.8107,6069
16200,7.13361290657,40.9917153677,36.8625633374,52.3951,109.978,88.336,3307
16200,6.70141902734,39.6564160881,37.4049384493,50.3618,108.088,82.5084,6069
17100,6.73689994892,38.0308473278,37.8294930061,48.4419,106.0734,80.648,3307
17100,6.69600857134,39.5199417541,37.5753073414,49.9095,107.3062,80.992,6069
18000,6.94087790536,41.9782517219,36.6913900692,53.1293,110.4933,85.4587,3307
18000,7.03379119891,43.553339031,36.2718493573,54.4676,112.0554,87.3929,6069
18900,5.29280953924,34.9722756727,39.9834758708,44.8636,101.482,57.3156,3307
19800,4.66864014561,31.7064853764,40.8679765146,41.4575,97.7394,49.6809,3307
18900,5.34675468848,37.6274909667,39.181203117,47.4986,104.3761,61.3733,6069
19800,4.72107296236,31.6705868293,40.7632094618,40.9965,97.8637,50.6347,6069
20700,5.16923918543,33.9273822195,39.9557288673,43.79,100.2686,56.8133,3307
20700,4.8022076145,29.0999657191,41.9371760469,38.3027,95.0356,49.8311,6069
