episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-8.910303141,-207.1513744,-98.23441526,15,40,900,FALSE,900,40,1,324c9b560d4a46c6be01c9b317c789ab,1580257212,364.4647059,364.4647059,3042,alienware,169.229.222.110,364.4647059,900,1,2,3a985096,963.5887542,144.4781009,1.964792461,512,600,359379.178,73.828,4112.737,852.742,17.92057692,26.79519231,0.200000003,0.0005,-0.198184729,-0.206187561,2763.526123,-0.001557395,0.039876007,23.89793777,0
-8.910303141,-209.3882385,-104.9387357,15,40,900,FALSE,1800,80,2,324c9b560d4a46c6be01c9b317c789ab,1580257588,375.6650026,740.1297085,3042,alienware,169.229.222.110,740.1297085,1800,2,2,3a985096,975.3035593,143.8557472,1.88195062,1024,1200,366170.557,38.522,3402.086,428.364,17.92462687,27.9505597,0.200000003,0.0005,-0.211425811,-0.218346834,2839.210938,-0.021273345,0.034463197,23.86788559,0
-7.972516389,-222.2332977,-105.4808784,15,40,900,FALSE,2700,120,3,324c9b560d4a46c6be01c9b317c789ab,1580257947,359.2298272,1099.359536,3042,alienware,169.229.222.110,1099.359536,2700,3,2,3a985096,974.671476,141.6930062,1.814466733,1536,1800,362952.956,26.854,3168.681,286.411,17.88908382,28.8834308,0.200000003,0.0005,-0.199859589,-0.20573765,2887.525146,-0.009026259,0.02924593,23.83608246,0
-7.972516389,-222.2332977,-110.3924541,15,40,900,FALSE,3600,160,4,324c9b560d4a46c6be01c9b317c789ab,1580258312,365.0941415,1464.453677,3042,alienware,169.229.222.110,1464.453677,3600,4,2,3a985096,985.9025426,142.3846854,1.737658367,2048,2400,362807.96,20.998,3054.063,215.615,17.99519231,29.74057692,0.200000003,0.0005,-0.201562345,-0.207502306,2672.800049,-0.003865302,0.029566187,23.81251717,0
-8.394205391,-219.7810556,-120.6699358,15,40,900,FALSE,4500,200,5,324c9b560d4a46c6be01c9b317c789ab,1580258679,366.5773125,1831.03099,3042,alienware,169.229.222.110,1831.03099,4500,5,2,3a985096,997.9352931,144.3294253,1.704787252,2560,3000,363017.159,17.308,2985.967,173.097,17.98107075,30.51797323,0.200000003,0.0005,-0.217090443,-0.222375065,2573.712158,-0.002077341,0.02629444,23.79033661,0
-8.394205391,-217.4844741,-125.1833317,15,40,900,FALSE,5400,240,6,324c9b560d4a46c6be01c9b317c789ab,1580259046,367.3787892,2198.409779,3042,alienware,169.229.222.110,2198.409779,5400,6,2,3a985096,1007.259304,145.75443,1.687503252,3072,3600,363298.363,14.974,2932.135,144.869,17.7980916,31.39141221,0.200000003,0.0005,-0.209189922,-0.21436061,2416.260254,-0.001325399,0.025732659,23.77843094,0
-8.17223533,-217.4844741,-122.1171436,15,40,900,FALSE,6300,280,7,324c9b560d4a46c6be01c9b317c789ab,1580259414,367.9007368,2566.310516,3042,alienware,169.229.222.110,2566.310516,6300,7,2,3a985096,1011.507854,146.7789966,1.67854823,3584,4200,363567.973,13.25,2899.626,124.668,18.03009524,32.18133333,0.200000003,0.0005,-0.221987844,-0.227220327,2443.915039,-0.001002997,0.026040111,23.75525665,0
-8.17223533,-212.663689,-113.6040815,15,40,900,FALSE,7200,320,8,324c9b560d4a46c6be01c9b317c789ab,1580259768,354.4684143,2920.77893,3042,alienware,169.229.222.110,2920.77893,7200,8,2,3a985096,1012.444517,147.0932634,1.671897548,4096,4800,362087.669,11.938,2878.743,109.504,17.72950495,33.01683168,0.200000003,0.0005,-0.221287817,-0.226363212,1931.540527,-0.000668228,0.025280401,23.74301147,0
-8.007339158,-223.1529806,-121.2630955,15,40,900,FALSE,8100,360,9,324c9b560d4a46c6be01c9b317c789ab,1580260145,376.8317153,3297.610645,3042,alienware,169.229.222.110,3297.610645,8100,9,2,3a985096,1015.393579,147.677645,1.666734697,4608,5400,363426.133,10.88,2857.555,97.667,17.90892193,33.88197026,0.200000003,0.0005,-0.198517263,-0.203928232,2375.351563,-0.000746816,0.026936082,23.72253799,0
-8.007339158,-223.1529806,-120.7476066,15,40,900,FALSE,9000,400,10,324c9b560d4a46c6be01c9b317c789ab,1580260501,355.9538925,3653.564538,3042,alienware,169.229.222.110,3653.564538,9000,10,2,3a985096,1017.866558,148.2419401,1.662075819,5120,6000,362406.008,10.07,2843.632,88.266,18.07716535,34.59350394,0.200000003,0.0005,-0.228697151,-0.234190345,1982.324585,-0.000528902,0.027366871,23.70611763,0
