time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,
900,4.81944838926,27.0458572925,41.9205129433,36.7872,94.4041,46.64,8041,
900,4.94312563603,26.5982310425,42.107618852,36.5567,93.8868,47.288,5098,
1800,5.73610198164,29.2674865822,40.8514119388,39.4822,96.8905,58.2373,8041,
2700,5.87528947879,29.0391536269,40.6313424002,39.8496,97.484,58.6347,8041,
1800,6.24843662208,37.2839913809,38.2717733467,48.46,105.8533,73.6044,5098,
3600,5.52540639051,26.9639258185,41.220540662,37.3128,94.8461,52.2631,8041,
2700,5.75129830491,27.8800852103,40.721217339,38.5421,95.9043,56.8844,5098,
900,5.20490130726,27.8283084154,40.899690076,38.5102,96.4465,50.4,1448,
4500,5.53090521625,25.1444948703,42.7938824349,34.4616,91.6911,50.7529,8041,
900,4.94042347213,26.0270942168,42.2073812286,36.1012,93.4578,45.9787,8704,
3600,5.37210184464,27.4365542859,41.410557476,37.9474,95.2301,51.9022,5098,
1800,5.33389826187,32.4552519365,39.9380587281,42.9216,100.4291,57.1538,1448,
900,5.00503563011,28.1410217852,41.4920811654,38.2583,95.7844,49.6347,3217,
5400,5.33511279816,26.0036415399,42.6365900365,35.2454,92.5711,49.3307,8041,
4500,5.11817165749,25.6654245554,42.984596784,34.5593,91.6839,46.992,5098,
1800,5.87963986983,35.9063499416,38.8699498086,47.528,104.8148,68.4542,8704,
2700,5.28786461046,26.4350948823,41.40709228,36.8848,94.4023,50.5698,1448,
1800,5.6657722677,27.3391789156,41.6299784034,37.3546,94.2867,54.8622,3217,
6300,5.5251894325,32.7685358783,40.4789564111,42.2833,99.351,59.3351,8041,
5400,5.1209523043,26.0959391812,42.5976800254,35.4636,92.7018,47.432,5098,
3600,5.2555313598,25.1675787685,41.9942079883,35.0659,92.7784,48.4436,1448,
2700,5.64303891564,29.3946593041,40.2703227336,40.4305,98.0053,56.4364,8704,
2700,5.43485718577,26.8735778502,41.2707119158,37.2795,94.9527,52.1262,3217,
7200,5.15923040392,30.2715649463,41.158057291,39.3151,96.4389,53.4009,8041,
6300,5.67036663163,31.2091795523,40.6154091581,40.9908,98.0825,60.2587,5098,
4500,5.10915590715,25.1997912693,43.0775449587,34.1802,91.4324,46.8373,1448,
3600,5.845280799,27.4973499851,40.7088630297,38.2708,95.9728,57.5769,8704,
3600,5.71977917575,28.3764323172,40.9421362468,38.631,96.0851,57.6373,3217,
8100,6.22585876102,33.2311359164,39.6601012035,43.2896,100.7542,67.9209,8041,
7200,5.88696634798,33.0388544937,39.705259284,42.8809,100.2375,64.5591,5098,
5400,5.55543389418,26.4820298421,42.3318651266,35.8389,93.0028,52.6276,1448,
4500,5.40253170667,26.8111260351,42.0186745435,36.4824,93.9018,50.3991,8704,
4500,5.22230994295,26.5130723155,42.4350751654,36.1331,93.3849,48.7191,3217,
9000,6.18887108423,34.8823402811,38.7716668191,45.3597,102.4694,67.72,8041,
8100,5.9107933232,34.0493978869,39.2477603508,44.7247,101.8752,64.024,5098,
6300,5.58840699388,32.0056476521,40.596961718,41.711,99.0552,59.6978,1448,
5400,5.52372004348,25.6633320738,42.7744240131,34.9994,92.1441,50.8942,8704,
5400,5.04177657947,26.0309299675,43.112601697,35.0242,92.4068,46.312,3217,
9900,6.07015539844,35.1998249626,38.6456943434,45.9725,103.4274,64.8782,8041,
9000,6.16450399132,34.0722418889,39.2387499026,44.2202,101.6344,66.6764,5098,
7200,6.07874922963,34.2588494554,39.3755010271,44.1403,101.5367,65.712,1448,
6300,5.64215286187,31.7734887634,40.3474713209,41.3866,98.4699,61.704,8704,
6300,5.50572815474,34.9139456568,39.9122051934,44.7525,101.8154,61.176,3217,
10800,5.71472693269,33.3705643971,39.4664684375,43.6651,101.0077,59.7289,8041,
9900,5.74551110035,34.2501532161,38.9453940715,44.6358,102.2474,62.1538,5098,
7200,5.87198588708,32.2820793357,40.2824438549,42.0204,99.3147,64.096,8704,
8100,6.10101304182,34.2586485794,39.0446711559,44.8529,102.0365,66.488,1448,
7200,5.77747577601,34.7573334072,39.2238165755,44.4978,102.0502,64.2027,3217,
11700,5.77631739414,31.6061341904,40.3100212742,41.0953,98.5049,60.0604,8041,
10800,5.84337435426,33.0336926735,39.4223836724,43.2242,100.6186,62.4764,5098,
8100,6.00342696963,32.4004085326,39.9117118759,42.5203,99.8717,63.6729,8704,
9000,6.09435355919,38.2578783832,38.3802211907,48.6825,105.6565,71.3449,1448,
8100,5.87125120915,33.2054421395,40.0389058229,43.1745,100.1289,63.7982,3217,
12600,6.07718496301,34.9327375189,39.3631139862,44.8608,102.1324,67.0071,8041,
11700,6.14694860165,33.6276595942,39.6248404522,43.4421,100.81,65.5902,5098,
9000,6.17921497951,36.1428722466,38.7910473259,46.5526,103.888,69.6284,8704,
9900,6.10119543931,35.0269028076,39.2195267127,45.0005,102.6597,66.8293,1448,
9000,5.87117946787,35.0551519277,38.7741821001,45.2747,102.5282,65.6196,3217,
