,training_iteration,episode_reward_max,five_min
0,1,-8.686151134773047,-8.281339510866532
1,2,-8.142193731356922,-8.397125718685297
2,3,-8.148642801657756,-8.397125718685297
3,4,-8.902373566957667,-8.302895765771895
4,5,-8.346214876837825,-8.291227979584614
5,6,-8.070111064564646,-8.507422456688294
6,7,-8.465381125322521,-8.183461929460536
7,8,-8.269380313847716,-8.16675139434149
8,9,-8.220064568350917,-8.485516092421308
9,10,-7.928432626139577,-8.421871457130376
10,11,-8.427410470527555,-8.397125718685297
11,12,-8.970387736365485,-8.279540886086584
12,13,-8.624014965619782,-8.236617804753575
13,14,-8.846705020347835,-8.239709904017133
14,15,-8.31737385890755,-8.378668977731303
15,16,-8.36310885383573,-8.472428653745895
16,17,-8.148384435781772,-8.448253288322523
17,18,-8.934979980888848,-8.531225625832436
18,19,-8.569897450058509,-8.571712329848037
19,20,-9.00221820510433,-8.573862603730339
20,21,-8.274193549574813,-8.755078162052026
21,22,-8.80408590458197,-8.542697167161684
22,23,-7.819597260456095,-8.581253751385502
23,24,-8.389739553345,-8.267675413336466
24,25,-8.30494524543043,-8.439378666790928
25,26,-7.8637090783605705,-8.290701319052591
26,27,-8.81754659249918,-8.469610755202577
27,28,-8.97220547944485,-8.205344240324559
28,29,-7.700770429134407,-8.463506519390755
29,30,-8.014669618122458,-8.821963092326817
30,31,-8.2715250048877,-8.412896396350144
31,32,-8.253976619898419,-8.41095534266912
32,33,-8.701753382450711,-8.542353753077174
33,34,-8.544301923896597,-8.525546266193414
34,35,-8.179604893599643,-8.075123372591644
35,36,-7.450713650575755,-8.507281377222913
36,37,-8.569927938832828,-8.325138174128428
37,38,-7.80946947821301,-8.061683062248203
38,39,-8.50607352124134,-8.239729903346186
39,40,-8.228808172011552,-8.536669976054633
40,41,-8.378570202763571,-8.594232324047692
41,42,-8.243847495678395,-7.925107736417542
42,43,-7.6326800260190595,-8.485634762027203
43,44,-8.461084986270949,-8.28921577488806
44,45,-7.979753779596141,-8.807496126691401
45,46,-8.068591569974158,-8.367284946442004
46,47,-8.640792761552758,-8.384792934623151
47,48,-8.723293595563003,-8.271930195623742
48,49,-8.774233933633742,-8.682937075933443
49,50,-7.720501916310624,-8.896233957052194
50,51,-8.8736006396424,-8.279458904984564
51,52,-8.549084823881829,-8.496238437431682
52,53,-7.985279193067502,-8.404649092296635
53,54,-9.14108936903326,-8.47704341242248
54,55,-8.53953099575827,-8.425569530874089
55,56,-7.8395745413032865,-8.180158580075336
56,57,-8.658747824413261,-8.120273207363443
57,58,-8.119823328931803,-8.54406721347089
58,59,-8.379995962030613,-8.246994769194085
59,60,-8.168288590657504,-8.493724086951609
60,61,-8.038555724641798,-8.671332805493043
61,62,-8.63148464469808,-8.720806785853688
62,63,-8.107450984312312,-8.466239732193838
63,64,-8.652183603073661,-8.599581279546362
64,65,-8.963555943658966,-8.5040583480958
65,66,-8.751100016960567,-8.638481566195649
66,67,-8.72299909048348,-8.241886982075165
67,68,-9.149327318137539,-8.313740817161616
68,69,-7.798171350818187,-8.240221847626508
69,70,-8.136097742251838,-8.135452582777933
70,71,-8.000347051401896,-8.55132705065243
71,72,-8.040910399757589,-8.138814799853723
72,73,-8.075411543866228,-8.574162778204341
73,74,-8.834519634305087,-7.735188433184546
74,75,-9.020823137955247,-8.694940433331096
75,76,-8.001379455450353,-8.705103990859577
76,77,-8.724293862795285,-8.389573247145883
77,78,-8.34296377584129,-8.43499167728964
78,79,-8.968232662661814,-8.335694428978465
79,80,-8.341518348960467,-8.330115302424295
80,81,-8.337179248989246,-8.250714898137902
