,training_iteration,episode_reward_max,five_min
0,1,-8.067057262831732,-8.397125718685297
1,2,-8.067057262831732,-8.623899333377679
2,3,-8.116307646716898,-8.665726165444378
3,4,-8.438014641810195,-8.539284109807657
4,5,-8.396931267429858,-8.428308611415728
5,6,-7.364208476810534,-8.637912888618796
6,7,-7.727841622743043,-8.191307133393751
7,8,-8.5185010670167,-8.75793961161409
8,9,-7.969898777612784,-8.27074531034603
9,10,-8.021761429517346,-8.20479533140399
10,11,-8.535458376361511,-8.344178844454404
11,12,-8.160515305499393,-8.397125718685297
12,13,-8.361394187754499,-8.406776580755349
13,14,-7.7158635277670475,-8.097817951476344
14,15,-7.727974643264212,-8.636593555717804
15,16,-7.890588981849487,-8.600354056389026
16,17,-7.733240431284743,-8.119632444546347
17,18,-7.840852153961787,-8.2133765660078
18,19,-8.067057262831732,-8.061367594169631
19,20,-8.428276525481008,-8.13497409825367
20,21,-7.813014915992566,-8.385974821875722
21,22,-8.292683157430975,-8.222696103408984
22,23,-8.329927069685402,-8.524410860224602
23,24,-7.917460043962132,-8.575510529990446
24,25,-8.863968897979715,-8.171567057466037
25,26,-8.502635087366327,-8.226611150842412
26,27,-8.05670623566177,-8.303859822241243
27,28,-8.074540892425869,-8.242609691393367
28,29,-8.067057262831732,-8.198813225289593
29,30,-8.644619190468624,-8.344218502870175
30,31,-8.34718286023709,-8.67236741899554
31,32,-8.178662679903361,-8.500781018598918
32,33,-8.516493398885249,-8.80174873011923
33,34,-7.877273607306309,-8.411433543177536
34,35,-7.791902684861787,-8.715687511230884
35,36,-8.5039272608429,-8.366858418075495
36,37,-8.060959876541437,-8.33087603238161
37,38,-8.311941115095287,-8.317151077608322
38,39,-7.399959756651194,-8.287183559328817
39,40,-8.154072667315763,-8.396258743734096
40,41,-8.235267393972483,-8.011482024387666
41,42,-8.181242193656834,-8.835352769997511
42,43,-8.07468833826532,-8.38292731237922
43,44,-7.8233131854490185,-8.366964766872128
44,45,-7.878452828793368,-8.519364282124878
