training_iteration,episode_reward_max,five_min
1,-8.910303141,-9.6418924331665
2,-8.910303141,-8.69602298736572
3,-7.972516389,-8.49293804168701
4,-7.972516389,-8.49293804168701
5,-8.394205391,-8.49293804168701
6,-8.394205391,-8.49293804168701
7,-8.17223533,-8.49293804168701
8,-8.17223533,-8.49293804168701
9,-8.007339158,-8.49293804168701
10,-8.007339158,-8.49293804168701
11,-8.580585027,-8.49293804168701
12,-9.312514559,-8.49293804168701
13,-8.883370125,-8.49293804168701
14,-8.883370125,-8.49293804168701
15,-8.883370125,-8.49293804168701
16,-9.251326918,-8.49293804168701
17,-8.390916984,-8.49293804168701
18,-8.390916984,-8.49293804168701
19,-8.390916984,-8.49293804168701
20,-8.033748195,-8.70528888702393
21,-8.033748195,-8.62794017791748
22,-8.433281197,-8.62794017791748
23,-9.456881351,-8.62794017791748
24,-9.456881351,-8.62794017791748
25,-8.70274988,-8.62794017791748
26,-8.70274988,-8.62794017791748
27,-8.337539544,-8.62794017791748
28,-8.337539544,-8.62794017791748
29,-8.742706744,-8.62794017791748
30,-8.742706744,-8.62794017791748
31,-9.442596014,-8.62794017791748
32,-9.610311216,-8.62794017791748
33,-8.02304579,-8.62794017791748
34,-8.02304579,-8.47299957275391
35,-8.512555066,-8.47299957275391
36,-8.512555066,-8.47299957275391
37,-8.512555066,-8.47299957275391
38,-9.249198664,-8.47299957275391
39,-9.654745441,-8.47299957275391
40,-7.938002507,-8.47299957275391
41,-7.938002507,-8.47299957275391
42,-7.938002507,-8.47299957275391
43,-9.106799807,-8.47299957275391
44,-8.110953684,-8.47299957275391
45,-8.110953684,-8.47299957275391
46,-8.110953684,-8.47299957275391
47,-8.979720073,-8.47299957275391
48,-8.979720073,-8.47299957275391
49,-8.919175569,-8.47299957275391
50,-8.588760141,-8.47299957275391
51,-8.588760141,-8.64980697631836
52,-8.670356825,-8.64980697631836
53,-8.670356825,-8.64980697631836
54,-8.37252239,-8.64980697631836
55,-8.37252239,-8.56945991516113
56,-8.37252239,-8.56945991516113
57,-8.891543483,-8.22311305999756
58,-8.891543483,-8.22311305999756
59,-8.891543483,-8.22311305999756
60,-8.051488408,-8.22311305999756
61,-8.051488408,-8.22311305999756
62,-8.051488408,-8.22311305999756
63,-8.715038427,-8.22311305999756
64,-8.715038427,-8.22311305999756
65,-8.423268479,-8.22311305999756
66,-8.423268479,-8.22311305999756
67,-8.423268479,-8.22311305999756
68,-8.588595375,-8.22311305999756
69,-8.469485003,-8.22311305999756
70,-8.469485003,-8.22311305999756
71,-8.658643245,-8.22311305999756
72,-8.658643245,-8.22311305999756
73,-8.57626385,-8.58623790740967
74,-8.57626385,-8.58623790740967
75,-9.016559774,-8.58623790740967
76,-9.884929991,-8.58623790740967
77,-8.86375506,-8.58623790740967
78,-8.86375506,-8.58623790740967
79,-8.762796782,-8.58623790740967
80,-9.313741643,-8.58623790740967
81,-8.500369553,-8.59169864654541
82,-8.500369553,-8.59169864654541
83,-8.826263116,-8.59169864654541
