index,time ,reward,1,2,3,4,5,6,7,8,delay,replication
1,900,-31.7104,16,30,16,30,16,30,16,30,15.5547132492065,8050297
2,1800,-3.1173,30,30,35,36,30,30,15,60,11.931471824646,8050297
3,900,-293.5052,10,30,10,37,10,30,14,33,27.9735717773437,8050322
4,900,-258.1616,10,30,10,37,10,30,14,33,27.274356842041,8050322
5,2700,-79.8184,30,30,26,15,11,30,15,39,21.8319339752197,8050297
6,900,-31.7104,16,30,16,30,16,30,16,30,15.5547132492065,8050297
7,900,-341.3542,10,30,10,37,10,30,14,33,27.9735717773437,8050322
8,1800,-196.9715,30,30,39,44,30,22,48,23,25.6786880493164,8050322
9,900,-31.7104,16,30,16,30,16,30,16,30,15.5547132492065,8050297
10,1800,-0.2082,30,21,26,45,6,21,49,52,15.5547132492065,8050297
11,900,-724.8966,10,21,10,31,10,21,14,27,25.2310276031494,8050315
12,3600,-62.614,30,30,16,43,30,30,50,15,21.0043506622314,8050297
13,1800,-0.468,7,25,62,49,6,30,42,57,15.5547132492065,8050297
14,1800,-432.5544,6,28,61,34,30,30,56,66,25.7530860900879,8050322
15,900,-552.077,10,21,10,31,10,21,14,27,30.0506057739258,8050315
16,1800,-79.8984,14,6,15,44,30,9,54,42,25.3143253326416,8050322
17,4500,-10.8555,30,30,58,22,29,16,56,42,26.7408237457275,8050297
18,1800,-65.2002,30,24,59,68,30,28,25,22,29.0285892486572,8050315
19,2700,-78.6349,30,30,15,67,17,30,18,19,21.8319339752197,8050297
20,2700,-236.1292,30,8,62,26,30,30,57,24,26.4085216522217,8050322
21,2700,-54.912,30,30,31,69,5,30,56,67,11.931471824646,8050297
22,3600,-47.6937,30,30,15,15,30,30,15,63,21.0043506622314,8050297
23,4500,-35.879,30,25,15,52,17,30,15,27,21.0043506622314,8050297
24,2700,-203.7452,30,30,54,15,30,9,53,50,27.0089149475098,8050322
25,5400,-20.1256,30,30,50,15,30,17,23,23,26.7408237457275,8050297
26,1800,-143.1594,30,17,27,32,27,26,51,40,29.0285892486572,8050315
27,3600,-40.9346,30,21,15,30,8,30,21,41,21.0043506622314,8050297
28,2700,-448.9722,30,30,54,63,30,25,41,47,27.5327491760254,8050315
29,2700,-616.4316,5,30,46,37,30,30,43,65,27.0089149475098,8050322
30,6300,-682.5049,7,24,41,15,30,30,60,57,26.784704208374,8050297
31,3600,-247.4783,30,30,26,45,30,30,30,23,24.9158096313477,8050322
32,3600,-28.2222,6,17,15,63,7,30,42,64,23.1885814666748,8050322
33,2700,-48.5289,30,15,51,44,15,30,63,41,29.0285892486572,8050315
34,4500,-22.29,30,21,15,15,23,30,16,15,26.7408237457275,8050297
35,3600,-8.7345,10,30,56,15,18,30,64,67,27.1499633789062,8050315
36,3600,-49.3638,30,30,62,22,11,18,36,63,23.1885814666748,8050322
37,5400,-292.7751,26,30,55,15,18,16,53,17,26.784704208374,8050297
38,6300,-5.9458,28,26,55,15,30,30,63,65,26.784704208374,8050297
39,4500,-138.7231,30,30,15,16,30,30,15,41,26.1146202087402,8050322
