training_iteration,reward_mean_5,reward_mean_10,reward_mean_15,reward_mean_30,reward_mean_45
1,-8.68615113477305,-9.6418924331665,-8.910303141,-8.06705726283173,-7.90320656460497
2,-8.14219373135692,-8.69602298736572,-8.910303141,-8.06705726283173,-8.31770509620795
3,-8.14864280165776,-8.49293804168701,-7.972516389,-8.1163076467169,-8.87001087296576
4,-8.90237356695767,-8.49293804168701,-7.972516389,-8.4380146418102,-8.44399615086498
5,-8.34621487683783,-8.49293804168701,-8.394205391,-8.39693126742986,-8.13250782458015
6,-8.07011106456465,-8.49293804168701,-8.394205391,-7.36420847681053,-8.30291876507623
7,-8.46538112532252,-8.49293804168701,-8.17223533,-7.72784162274304,-7.8546847940595
8,-8.26938031384772,-8.49293804168701,-8.17223533,-8.5185010670167,-8.35190834860161
9,-8.22006456835092,-8.49293804168701,-8.007339158,-7.96989877761278,-7.69181348092589
10,-7.92843262613958,-8.49293804168701,-8.007339158,-8.02176142951735,-8.11920352564793
11,-8.42741047052756,-8.49293804168701,-8.580585027,-8.53545837636151,-8.087531828537
12,-8.97038773636549,-8.49293804168701,-9.312514559,-8.16051530549939,-8.05792232232273
13,-8.62401496561978,-8.49293804168701,-8.883370125,-8.3613941877545,-7.77125733855548
14,-8.84670502034784,-8.49293804168701,-8.883370125,-7.71586352776705,-7.96496169244579
15,-8.31737385890755,-8.49293804168701,-8.883370125,-7.72797464326421,-8.48445931366968
16,-8.36310885383573,-8.49293804168701,-9.251326918,-7.89058898184949,-8.62052228309669
17,-8.14838443578177,-8.49293804168701,-8.390916984,-7.73324043128474,-8.7473252947119
18,-8.93497998088885,-8.49293804168701,-8.390916984,-7.84085215396179,-7.50935921989619
19,-8.56989745005851,-8.49293804168701,-8.390916984,-8.06705726283173,-8.32623905536184
20,-9.00221820510433,-8.70528888702393,-8.033748195,-8.42827652548101,-7.76236257595258
21,-8.27419354957481,-8.62794017791748,-8.033748195,-7.81301491599257,-8.34436475394059
22,-8.80408590458197,-8.62794017791748,-8.433281197,-8.29268315743098,-7.88403872857013
23,-7.8195972604561,-8.62794017791748,-9.456881351,-8.3299270696854,-8.6404374200887
24,-8.389739553345,-8.62794017791748,-9.456881351,-7.91746004396213,-8.14571729319189
25,-8.30494524543043,-8.62794017791748,-8.70274988,-8.86396889797972,-7.74856769593473
26,-7.86370907836057,-8.62794017791748,-8.70274988,-8.50263508736633,-8.02963148304634
27,-8.81754659249918,-8.62794017791748,-8.337539544,-8.05670623566177,-7.73867949007945
28,-8.97220547944485,-8.62794017791748,-8.337539544,-8.07454089242587,-8.64315496866651
29,-7.70077042913441,-8.62794017791748,-8.742706744,-8.06705726283173,-8.23085408276708
30,-8.01466961812246,-8.62794017791748,-8.742706744,-8.64461919046862,-7.52540037190748
31,-8.2715250048877,-8.62794017791748,-9.442596014,-8.34718286023709,-8.46141900939595
32,-8.25397661989842,-8.62794017791748,-9.610311216,-8.17866267990336,-8.22197524595326
33,-8.70175338245071,-8.62794017791748,-8.02304579,-8.51649339888525,-8.67428566434536
34,-8.5443019238966,-8.47299957275391,-8.02304579,-7.87727360730631,-8.07777589685838
35,-8.17960489359964,-8.47299957275391,-8.512555066,-7.79190268486179,-7.94529454274091
36,-7.45071365057576,-8.47299957275391,-8.512555066,-8.5039272608429,-8.34785719912147
37,-8.56992793883283,-8.47299957275391,-8.512555066,-8.06095987654144,-8.19715598463136
38,-7.80946947821301,-8.47299957275391,-9.249198664,-8.31194111509529,-7.86924429305676
39,-8.50607352124134,-8.47299957275391,-9.654745441,-7.39995975665119,-7.83896885865935
40,-8.22880817201155,-8.47299957275391,-7.938002507,-8.15407266731576,-8.3695585599396
41,-8.37857020276357,-8.47299957275391,-7.938002507,-8.23526739397248,-8.01188380406813
42,-8.2438474956784,-8.47299957275391,-7.938002507,-8.18124219365683,-7.61632578399038
43,-7.63268002601906,-8.47299957275391,-9.106799807,-8.07468833826532,-7.95878992284468
44,-8.46108498627095,-8.47299957275391,-8.110953684,-7.82331318544902,-7.74086264750295
45,-7.97975377959614,-8.47299957275391,-8.110953684,-7.87845282879337,-8.16429461862518
46,-8.06859156997416,-8.47299957275391,-8.110953684,-8.28028141609127,-8.25945564542252
47,-8.64079276155276,-8.47299957275391,-8.979720073,-8.06705726283173,-8.71996159712079
48,-8.723293595563,-8.47299957275391,-8.979720073,-7.9303646078522,-7.6450737461881
49,-8.77423393363374,-8.47299957275391,-8.919175569,-8.00985243967553,-8.54904996769997
50,-7.72050191631062,-8.47299957275391,-8.588760141,-7.96818239182406,-7.73172430069178
